"lang"
{
"Language"	"vietnamese"
"Tokens"
{
"DOTA_AttackMove"	"Tấn Công / Buộc tấn công"
"DOTA_Move"	"Di chuyển"
"DOTA_UnitQuery"	"Chọn một đối tượng/đơn vị"
"DOTA_ExecuteAbility0"	"Kỹ năng 1"
"DOTA_ExecuteAbility1"	"Kỹ năng 2"
"DOTA_ExecuteAbility2"	"Kỹ năng 3"
"DOTA_ExecuteAbility3"	"Kỹ năng 4"
"DOTA_ExecuteAbility4"	"Kỹ năng 5"
"DOTA_ExecuteAbility5"	"Tuyệt Kỹ"
"DOTA_RespawnTime"	"Hồi sinh sau %s1 giây"
"DOTA_RespawnTimeShort"	"Hồi sinh sau %s1 giây"
"DOTA_UnitLevel"	"Cấp độ %s1"
"DOTA_StrengthStatus"	"%s1 SM"
"DOTA_STR"	"SM"
"DOTA_AgilityStatus"	"%s1 NN"
"DOTA_AGI"	"NN"
"DOTA_IntellectStatus"	"%s1 TT"
"DOTA_INT"	"TT"
"DOTA_DamageStatus"	"%s1 sát thương"
"DOTA_ArmorStatus"	"%s1 Giáp"
"DOTA_ARMOR"	"GIÁP"
"DOTA_UnitHold"	"Giữ Vị Trí"
"DOTA_UnitStop"	"Dừng"
"DOTA_LevelUp"	"LÊN CẤP"
"DOTA_LevelUp_Req"	"Yêu cầu Hero cấp độ %s1"
"DOTA_AttributesUp"	"CẤP ĐỘ %s1"
"DOTA_Abilities"	"KỸ NĂNG"
"DOTA_Items"	"VẬT PHẨM ĐÃ TRANG BỊ"
"DOTA_HUDShop"	"CỬA HÀNG"
"DOTA_AttribArmor"	"Giáp"
"DOTA_AttribDamage"	"Sát thương"
"DOTA_More"	"XEM THÊM"
"DOTA_Developer"	"Nhà phát triển"
"DOTA_NeedMana"	"%s1 giây"
"DOTA_ManaCost"	"NL TỐN %s1"
"DOTA_Basics"	"CƠ BẢN"
"DOTA_Upgrades"	"NÂNG CẤP"
"DOTA_Attributes"	"THUỘC TÍNH"
"DOTA_LevelLabel"	"Cấp độ: %s1"
"DOTA_StackCount"	"Số Lượng: %s1"
"DOTA_Charges"	"Số năng lượng: %s1"
"DOTA_Health"	"MÁU"
"DOTA_Mana"	"MANA"
"DOTA_Skills"	"KỸ NĂNG"
"DOTA_AttributeFooter"	"SÁT THƯƠNG: %s1 GIÁP: %s2"
"DOTA_UnitSelection_Title"	"LỰA CHỌN ĐƠN VỊ"
"DOTA_SelectHeroAndCenter"	"Chọn Hero và căn giữa camera"
"DOTA_TabUnit"	"Chuyển Giữa Các Đơn Vị Được Chọn"
"DOTA_ControlGroup1"	"Nhóm 1"
"DOTA_ControlGroup2"	"Nhóm 2"
"DOTA_ControlGroup3"	"Nhóm 3"
"DOTA_ControlGroup4"	"Nhóm 4"
"DOTA_ControlGroup5"	"Nhóm 5"
"DOTA_StatTooltip_Header"	"Thuộc tính của Hero:\n\n"
"DOTA_StatTooltip_Strength"	"Sức mạnh:"
"DOTA_StatTooltip_Agility"	"Nhanh nhẹn:"
"DOTA_StatTooltip_Intelligence"	"Trí tuệ:"
"DOTA_StatTooltip_PrimaryAttrib"	"Chỉ số chính\n"
"DOTA_StatTooltip_StrengthBonus"	"- Mỗi điểm tăng lượng máu tối đa thêm 20\n- Mỗi điểm tăng tốc độ hồi máu thêm 0.03\n"
"DOTA_StatTooltip_AgilityBonus"	"- Mỗi 7 điểm tăng thêm 1 giáp\n- Mỗi điểm tăng tốc độ đánh thêm 1\n"
"DOTA_StatTooltip_IntelligenceBonus"	"- Mỗi điểm tăng 12 mana tối đa\n- Mỗi điểm tăng tốc độ hồi mana thêm 0.04\n- Mỗi 16 điểm tăng sát thượng kỹ năng thêm 1%"
"DOTA_StatTooltip_PrimaryBonus"	"- Mỗi điểm tăng sát thương thêm 1\n"
"DOTA_StatTooltip_Buyback"	"Hồi sinh nhanh: %s1\n"
"DOTA_GoodGuys"	"Phe Radiant"
"DOTA_BadGuys"	"Phe Dire"
"DOTA_Towers"	"Số Trụ còn lại: %s1"
"DOTA_Barracks"	"Trại lính: %s1"
"DOTA_NotAvailable"	"Không khả dụng"
"DOTA_MoveForward"	"Tiến máy quay"
"DOTA_MoveBack"	"Lùi máy quay"
"DOTA_MoveLeft"	"Máy quay sang trái"
"DOTA_MoveRight"	"Máy quay sang phải"
"DOTA_CameraGrip"	"Giữ máy quay"
"DOTA_HeroSelect"	"Chọn tướng"
"DOTA_HeroCenter"	"Căn giữa tướng"
"DOTA_HeroMoveHome"	"Di chuyển Hero về"
"DOTA_ControlGroupCycle"	"Đơn vị kế"
"DOTA_ControlGroup6"	"Nhóm 6"
"DOTA_Escape"	"Thoát"
"DOTA_Scoreboard"	"Bảng tỉ số"
"DOTA_Screenshot"	"Chụp ảnh"
"DOTA_Voice"	"Đàm thoại"
"DOTA_VoiceLane"	"Đàm thoại (theo đường)"
"DOTA_ChatGlobal"	"Chat với tất cả"
"DOTA_ChatTeam"	"Chat Đội"
"DOTA_Learn_Abilities"	"Học kỹ năng"
"DOTA_Learn_Stats"	"Nâng cấp chỉ số"
"DOTA_UseActionItem_Key"	"Vật Phẩm Hành Động"
"DOTA_StatTooltip_TotalAttributesSkilled"	"Cấp độ Thuộc tính: "
"DOTA_DmgArmorTooltip_AttackSpeed"	"Tốc độ đánh"
"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	"giây một đòn"
"DOTA_DmgArmorTooltip_MoveSpeed"	"Tốc độ Di chuyển: "
"DOTA_DmgArmorTooltip_AttackDamage"	"Sát thương công kích: "
"DOTA_DmgArmorTooltip_AttackRange"	"Cự ly công kích: "
"DOTA_DmgArmorTooltip_Armor"	"Giáp Vật lý: "
"DOTA_DmgArmorTooltip_DmgResist"	"Kháng sát thương vật lý: "
"DOTA_DmgArmorTooltip_MagicArmor"	"Giáp Phép thuật: "
"DOTA_DmgArmorTooltip_MagicDmgResist"	"Kháng Sát thương Phép thuật: "
"DOTA_HeroTaunt_Key"	"Vật phẩm Hành động"
"DOTAUI_AspectNormal"	"4:3"
"DOTAUI_AspectWide16x9"	"16:9"
"DOTAUI_AspectWide16x10"	"16:10"
"DOTAUI_Fullscreen"	"Toàn màn hình"
"DOTAUI_Window"	"Cửa sổ"
"DOTAUI_BorderlessWindow"	"Cửa sổ không viền"
"DOTA_Welcome"	"Chào mừng đến DotA"
"DOTA_Chat_Team"	"[ĐỒNG ĐỘI] %s1: %s2"
"DOTA_Chat_Team_Dead"	"*Chết*[Đồng đội] %s1: %s2"
"DOTA_Chat_Spec"	"[Khán giả] %s1: %s2"
"DOTA_Chat_All"	"%s1: %s2"
"DOTA_Chat_PlayerKilled"	"%s1 vừa giết %s2 và được %s3 vàng!"
"DOTA_Chat_PlayerDenied"	"%s1 vừa deny %s2!"
"DOTA_Chat_PlayerDeniedSelf"	"%s1 đã tự sát!"
"DOTA_Chat_PlayerKilledGood"	"%s1 đã bị giết bởi phe Dire! %s2 vàng được chia đều cho các tướng phe Dire."
"DOTA_Chat_PlayerKilledBad"	"%s1 đã bị giết bởi phe Radiant! %s2 vàng được chia đều cho các tướng phe Radiant."
"DOTA_Chat_PlayerKilledGeneric"	"%s1 vừa bị giết bởi một quái rừng!"
"DOTA_Chat_PlayerKilledAssist"	"%s1 đã bị giết %s2 vàng được chia đều cho những người tương trợ:"
"DOTA_Chat_TowerPlayerKilled"	"%s1 đã phá hủy một trụ!"
"DOTA_Chat_TowerKilledGood"	"Một trụ vừa bị Phe Dire phá hủy!"
"DOTA_Chat_TowerKilledBad"	"Một trụ vừa bị Phe Radiant phá hủy!"
"DOTA_Chat_BarracksKilled"	"%s1 %s2 %s3 Nhà Lính vừa bị phá hủy!"
"DOTA_Chat_TowerDenied"	"%s1 vừa hủy trụ!"
"DOTA_Chat_FirstBlood"	"%s1 %s2 lập chiến công đầu khi giết %s3"
"DOTA_Chat_BuyBack"	"%s1 đã lập tức quay trở lại trận đấu!"
"DOTA_Chat_PickedUpAegis"	"%s1 vừa nhặt Aegis of the Immortal!"
"DOTA_Chat_KilledRoshanGood"	"Roshan vừa bị giết bởi phía Radiant! %s1 vàng cho mỗi hero phía Radiant!"
"DOTA_Chat_KilledRoshanBad"	"Roshan vừa bị giết bởi phía Dire! %s1 vàng cho mỗi hero phía Dire!"
"DOTA_Chat_SuperCreepsGood"	"Toàn bộ nhà lính phe Dire bị phá hủy. Phe Radiant giờ có Siêu lính!"
"DOTA_Chat_SuperCreepsBad"	"Toàn bộ nhà lính phe Radiant bị phá hủy. Phe Dire giờ có Siêu lính!"
"DOTA_Chat_ItemPurchase"	"%s1 vừa mua %s2!"
"DOTA_Chat_Connect"	"%s1 đã kết nối."
"DOTA_Chat_Disconnect"	"%s1 đã mất kết nối."
