"lang"
{
"Language"	"vietnamese"
"Tokens"
{
"DOTA_Item"	"Mặc được"
"DOTA_Custom_Courier"	"Thú vận chuyển"
"DOTA_TreasureChest_Type"	"Kho báu"
"DOTA_FacelessVoid_Default_Weapon"	"Vũ Khí Của Faceless Void"
"DOTA_Wearable_Sven_DefaultHead"	"Mặt nạ Sven"
"DOTA_Wearable_Sven_DefaultBelt"	"Đai lưng Sven"
"DOTA_Wearable_Sven_DefaultGauntlet"	"Găng tay Sven"
"DOTA_Wearable_Sven_DefaultShoulder"	"Giáp vai Sven"
"DOTA_Item_Clinkz_Bow"	"Cung Tên Của Clinkz"
"DOTA_Item_Clinkz_Horns"	"Sừng Của Clinkz"
"DOTA_Item_Clinkz_Gloves"	"Bao Tay Của Clinkz"
"DOTA_Item_Ogremagis_Weapon"	"Vũ Khí của Ogremagi"
"DOTA_Item_Alchemists_Goblin_Body"	"Thân Goblin của Alchemist"
"DOTA_Item_Alchemists_Weapon"	"Vũ khí của Alchemist"
"DOTA_Item_Alchemists_Saddle"	"Yên của Alchemist"
"DOTA_Item_Alchemists_Gauntlet"	"Găng tay của Alchemist"
"DOTA_Item_Alchemists_Goblin_Hat"	"Mũ Goblin của Alchemist"
"DOTA_Item_Alchemists_Left_Bottle"	"Chai Bên Trái của Alchemist"
"DOTA_Item_Alchemists_Goblin_Head"	"Đầu Goblin của Alchemist"
"DOTA_Item_Alchemists_Ogre_Head"	"Đầu Ogre của Alchemist"
"DOTA_Item_Alchemists_Shoulder_Bottle"	"Chai Bên Vai của Alchemist"
"DOTA_AnimTaunt_SniperTaunt_Desc"	"Chúc mừng một đòn hạ thủ ngọt ngào hoặc chiến thắng lớn bằng cách thể hiện sự vui mừng của bạn với quân địch. Hắn không bận tâm đâu."
"DOTA_AnimTaunt_CM_Snowball_Desc"	"Crystal Maiden ném một nắm tuyết!"
"DOTA_AnimTaunt_Jakiro_Roar_Desc"	"Jakiro Roar Taunt"
"DOTA_AnimTaunt_Jakiro_Icemelt_Desc"	"Jakiro Icemelt Taunt"
"DOTA_Item_100Proof_Jug"	"100-Proof Jug"
"DOTA_Item_Alpine_Stalkers_Scarf"	"Alpine Stalker's Scarf"
"DOTA_Item_Alpine_Stalkers_Pants"	"Alpine Stalker's Pants"
"DOTA_Item_Alpine_Stalkers_Gloves"	"Alpine Stalker's Gloves"
"DOTA_Item_75_Battle_Point_Booster_3_Days"	"Tăng 75% điểm trận đấu (3 Ngày)"
"DOTA_Item_Desc_75_Battle_Bonus_3_Days"	"Sử dụng vật phẩm này để tăng mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> lên <font color='#9da1a9'>75%</font> trong 3 ngày. Thêm vào đó, bạn còn cung cấp cho những người chơi trong trận đấu thêm <font color='#9da1a9'>15%</font> cộng dồn vào mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> của họ."
"DOTA_Item_75_Battle_Point_Booster_6_Days"	"Tăng 75% điểm trận đấu (6 Ngày)"
"DOTA_Item_Desc_75_Battle_Bonus_6_Days"	"Sử dụng vật phẩm này để tăng mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> lên <font color='#9da1a9'>75%</font> trong 6 ngày. Thêm vào đó, bạn còn cung cấp cho những người chơi trong trận đấu thêm <font color='#9da1a9'>15%</font> cộng dồn vào mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> của họ."
"DOTA_Bundle_Desc_Juggernaut_Ivory_Ebony"	"Bao gồm tất cả trang bị trong bộ 'Of Ebony and Ivory' dành cho Juggernaut:"
"DOTA_Bundle_Desc_Witch_Doctor_Wicked_Bad_Voodoo"	"Bao gồm tất cả các trang bị trong bộ 'Wicked Bad Voodoo' dành cho Witch Doctor:"
"DOTA_Bundle_Desc_Axe_Demon_Blood"	"Bao gồm tất cả các trang bị trong bộ 'Forged in Demons Blood' dành cho Axe:"
"DOTA_Bundle_Desc_Axe_Defiant"	"Bao gồm tất cả các trang bị trong bộ 'Defiant Axe' dành cho Axe:"
"DOTA_Bundle_Desc_Natures_Prophet_Forest_Lord"	"Bao gồm tất cả trang bị trong bộ 'Regal Forest Lord' dành cho Nature's Prophet:"
"DOTA_Bundle_Desc_Juggernaut_Boar_God"	"Bao gồm tất cả trang bị trong bộ 'The Boar God's Honor' dành cho Juggernaut:"
"DOTA_Bundle_Desc_Juggernaut_Beasts_Man"	"Bao gồm tất cả trang bị trong bộ 'Aspects of Beast and Man' dành cho Juggernaut:"
"DOTA_Bundle_Desc_Juggernaut_High_Plains"	"Bao gồm tất cả trang bị trong bộ 'Traveler on the High Plains' dành cho Juggernaut:"
"DOTA_Bundle_Desc_Natures_Prophet_Scion_Savage"	"Bao gồm tất cả trang bị trong bộ 'Scion of the Savage' dành cho Nature's Prophet:"
"DOTA_Bundle_Desc_Natures_Prophet_Heartwood_Vanguard"	"Bao gồm tất cả trang bị trong bộ 'Heartwood Vanguard' dành cho Nature's Prophet:"
"DOTA_Bundle_Desc_Natures_Prophet_Peace_Bringer"	"Bao gồm tất cả trang bị trong bộ 'Garments of the Peace-Bringer' dành cho Nature's Prophet:"
"DOTA_Bundle_Desc_Natures_Prophet_Beast_Bole"	"Bao gồm tất cả trang bị trong bộ 'Master of Beast and Bole' dành cho Narute's Prophet:"
"DOTA_Bundle_Desc_Axe_Berserker"	"Bao gồm tất cả các trang bị trong bộ 'The Berserker's Blood' dành cho Axe:"
"DOTA_Bundle_Desc_Axe_Forgemaster"	"Bao gồm tất cả các trang bị trong bộ 'The Forgemaster's Tools' dành cho Axe:"
"DOTA_Bundle_Desc_Axe_Axecutioner"	"Bao gồm tất cả các món đồ trong bộ 'The Axecutioner' của Axe:"
"DOTA_Bundle_Desc_Sven_Swordmaster"	"Bao gồm tất cả các trang bị trong bộ 'Swordmaster of the Vigil' dành cho Sven:"
"DOTA_Bundle_Desc_Sven_Freelancer"	"Bao gồm tất cả trang bị của bộ 'The Freelancer's Finery' dành cho Sven:"
"DOTA_Bundle_Desc_Sven_Mono_Militis"	"Bao gồm tất cả trang bị của bộ 'Sect Armor of the Mono Militis' dành cho Sven:"
"DOTA_Bundle_Desc_Sven_Flameguard"	"Bao gồm tất cả trang bị của bộ 'Sect Armor of the Flamegaurd' dành cho Sven:"
"DOTA_Bundle_Desc_Tidehunter_Pirate_Slayer"	"Bao gồm tất cả các trang bị trong bộ 'The Pirate's Booty' dành cho Tidehunter:"
"DOTA_Bundle_Desc_Tidehunter_Punisher"	"Bao gồm tất cả các trang bị trong bộ 'The Paleogeneous Punisher' dành cho Tidehunter:"
"DOTA_Bundle_Desc_Kunkka_Admirable_Admiral"	"Bao gồm tất cả trang bị trong bộ 'The Admirable Admiral' dành cho Kunkka:"
"DOTA_Bundle_Desc_Dragon_Knight_Uldorak"	"Bao gồm tất cả các trang bị trong bộ 'Uldorak's Hide' dành cho Dragon Knight:"
"DOTA_Bundle_Desc_Omniknight_Crusader"	"Bao gồm tất cả trang bị trong bộ 'The Radiance of the Crusade' dành cho Omniknight:"
"DOTA_Bundle_Desc_Invoker_Exort"	"Bao gồm tất cả trang bị trong bộ 'The Fires of Exort' dành cho Invoker:"
"DOTA_Bundle_DOTA2_Access"	"Giấy mời Dota 2"
"DOTA_Bundle_Desc_DOTA2_Access"	"Hãy truy cập Dota 2 và bắt đầu chơi ngay bây giờ!
Gói quà này bao gồm một thú vận chuyển Mighty Boar, và một bộ đầy đủ các trang dành cho Sven, Juggernaut, và Witch Doctor. Dota 2 hiện chỉ phát hành trên PC."
"DOTA_Bundle_Desc_Drow_Ranger_Spikes_Frost"	"Bao gồm tất cả các trang bị trong bộ 'Spikes of Frost' dành cho Drow Ranger:"
"DOTA_Bundle_Desc_Bounty_Hunter_Pangolin"	"Bao gồm tất cả trang bị trong bộ 'Trappings of the Pangolin Guild' dành cho Bounty Hunter:"
"DOTA_Bundle_Collection_of_Couriers_Pack"	"Bộ sưu tập thú vận chuyển"
"DOTA_Bundle_Desc_Collection_of_Couriers_Pack"	"Bao gồm thú vận chuyển dễ thương và đáng yêu sau:"
"DOTA_Bundle_Assemblage_of_Announcers_Pack"	"Bộ Sưu Tập Announcers"
"DOTA_Bundle_Desc_Assemblage_of_Announcers_Pack"	"Bao gồm những loa phát thanh vui nhộn và cuốn hút sau đây:"
"DOTA_Item_Brewmasters_Staff"	"Quyền Trượng Của Brewmaster"
"DOTA_Item_Brewmasters_Barrel"	"Thùng Rượu của Brewmaster"
"DOTA_Item_Brewmasters_Backpack"	"Hành Trang Của Brewmaster"
"DOTA_Bundle_Desc_Juggernaut_Dauntless"	"Bao gồm tất cả trang bị trong bộ 'The Dauntless' dành cho Juggernaut:"
