"lang"
{
"Language"	"danish"
"Tokens"
{
"portal.glados_core.aggressive_02"	"<clr:194,40,32><I>*TÆNDERSKÆREN*"
"[english]portal.glados_core.aggressive_02"	"<clr:194,40,32><I>*GNASH*"
"portal.glados_core.aggressive_panic_02"	"<clr:194,40,32><I>*STØNNEN*"
"[english]portal.glados_core.aggressive_panic_02"	"<clr:194,40,32><I>*GROAN*"
"portal.glados_core.aggressive_03"	"<clr:194,40,32><I>*DYB SNERREN*"
"[english]portal.glados_core.aggressive_03"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_04"	"<clr:194,40,32><I>*DYB SNERREN*"
"[english]portal.glados_core.aggressive_04"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_07"	"<clr:194,40,32><I>*DYB SNERREN*"
"[english]portal.glados_core.aggressive_07"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_08"	"<clr:194,40,32><I>*DYB SNERREN*"
"[english]portal.glados_core.aggressive_08"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_09"	"<clr:194,40,32><I>*DYB SNERREN*"
"[english]portal.glados_core.aggressive_09"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_11"	"<clr:194,40,32><I>*DYB SNERREN*"
"[english]portal.glados_core.aggressive_11"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_19"	"<clr:194,40,32><I>*DYB SNERREN*"
"[english]portal.glados_core.aggressive_19"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_13"	"<clr:194,40,32><I>*GRYNT*"
"[english]portal.glados_core.aggressive_13"	"<clr:194,40,32><I>*GRUNT*"
"portal.glados_core.aggressive_05"	"<clr:194,40,32><I>*HVISLEN*"
"[english]portal.glados_core.aggressive_05"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_10"	"<clr:194,40,32><I>*HVISLEN*"
"[english]portal.glados_core.aggressive_10"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_12"	"<clr:194,40,32><I>*HVISLEN*"
"[english]portal.glados_core.aggressive_12"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_16"	"<clr:194,40,32><I>*HVISLEN*"
"[english]portal.glados_core.aggressive_16"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_17"	"<clr:194,40,32><I>*HVISLEN*"
"[english]portal.glados_core.aggressive_17"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_18"	"<clr:194,40,32><I>*HVISLEN*"
"[english]portal.glados_core.aggressive_18"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_00"	"<clr:194,40,32><I>*GISPEN*"
"[english]portal.glados_core.aggressive_00"	"<clr:194,40,32><I>*PANT*"
"portal.glados_core.aggressive_14"	"<clr:194,40,32><I>*BRØL*"
"[english]portal.glados_core.aggressive_14"	"<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_15"	"<clr:194,40,32><I>*BRØL*"
"[english]portal.glados_core.aggressive_15"	"<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_20"	"<clr:194,40,32><I>*BRØL*"
"[english]portal.glados_core.aggressive_20"	"<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_21"	"<clr:194,40,32><I>*BRØL*"
"[english]portal.glados_core.aggressive_21"	"<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_01"	"<clr:194,40,32><I>*SNERREN*"
"[english]portal.glados_core.aggressive_01"	"<clr:194,40,32><I>*SNARL*"
"portal.glados_core.aggressive_06"	"<clr:194,40,32><I>*PRUSTEN*"
"[english]portal.glados_core.aggressive_06"	"<clr:194,40,32><I>*SNORT*"
"portal.glados_core.aggressive_panic_01"	"<clr:194,40,32><I>*HYLEN*"
"[english]portal.glados_core.aggressive_panic_01"	"<clr:194,40,32><I>*YIPE*"
"portal.glados_core.death"	"<clr:219,112,147><I>*SKRIG*"
"[english]portal.glados_core.death"	"<clr:219,112,147><I>*SCREAM*"
"portal.escape_01_second_hit_nag01-1"	"<clr:219,112,147><I>[Mere intens smertelyd]"
"[english]portal.escape_01_second_hit_nag01-1"	"<clr:219,112,147><I>[More intense pain sound]"
"portal.glados.escape_02_ballhitpain-02"	"<clr:219,112,147><I>[SMERTESTØJ]"
"[english]portal.glados.escape_02_ballhitpain-02"	"<clr:219,112,147><I>[PAIN NOISE]"
"portal.glados.core_destroy3_01"	"<clr:219,112,147><I>[smertestøj] Tror du, du gør skade? To plus to er ti... I FIRTALSSYSTEMET! JEG ER OK!"
"[english]portal.glados.core_destroy3_01"	"<clr:219,112,147><I>[pain noise] You think you're doing some damage? Two plus two is ten... IN BASE FOUR! I'M FINE!"
"portal.escape_01_first_hit_nag01-1"	"<clr:219,112,147><I>[smertelyd]"
"[english]portal.escape_01_first_hit_nag01-1"	"<clr:219,112,147><I>[pain sound]"
"portal.08_part1_trapped-2"	"<clr:219,112,147><I>Der åbnes en gratis nødudgang i tre... to... en."
"[english]portal.08_part1_trapped-2"	"<clr:219,112,147><I>A complimentary escape hatch will open in three... Two... One."
"portal.15_part1_partyspeech-5"	"<clr:219,112,147><I>En af vore medarbejdere vil snart komme og føre dig til din fest."
"[english]portal.15_part1_partyspeech-5"	"<clr:219,112,147><I>A party associate will arrive shortly to collect you for your party."
"portal.generic_crate_vaporized_in_emancipation_grid-2"	"<clr:219,112,147><I>Du vil snart modtage en ny Aperture Science vægtet lagerkube."
"[english]portal.generic_crate_vaporized_in_emancipation_grid-2"	"<clr:219,112,147><I>A replacement Aperture Science Weighted Storage Cube will be delivered shortly."
"portal.15_part1_into_the_fire-2"	"<clr:219,112,147><I>Alle Aperture-teknologier kan bruges sikkert op til 4.000 grader Kelvin."
"[english]portal.15_part1_into_the_fire-2"	"<clr:219,112,147><I>All Aperture technologies remain safely operational up to 4000 degrees Kelvin."
"portal.glados.core_destroy4_04"	"<clr:219,112,147><I>Jeg ved kun, at jeg er det eneste, der står mellem os og dem. Eller, jeg var."
"[english]portal.glados.core_destroy4_04"	"<clr:219,112,147><I>All I know is I'm the only thing standing between us and them. Well, I was."
"portal.09_part1_entry-1"	"<clr:219,112,147><I>Alle emner, der håndterer højenergiportalteknologi, der lækker gammastråler, skal vide, at de MÅSKE bliver oplyst om gældende lovmæssige overensstemmelsesproblemer."
"[english]portal.09_part1_entry-1"	"<clr:219,112,147><I>All subjects intending to handle high-energy gamma leaking portal technology must be informed that they MAY be informed of applicable regulatory compliance issues."
"portal.glados.escape_02_miscbabble-24"	"<clr:219,112,147><I>Alle dine andre venner kunne heller ikke komme, da du jo ikke har nogen venner. Fordi du er så usympatisk."
"[english]portal.glados.escape_02_miscbabble-24"	"<clr:219,112,147><I>All your other friends couldn't come either because you don't have any other friends. Because of how unlikable you are."
"portal.glados.core_destroy1_09"	"<clr:219,112,147><I>Nå, men så bare bliv ved med at lave det, du tror du laver."
"[english]portal.glados.core_destroy1_09"	"<clr:219,112,147><I>All right, keep doing whatever it is you think you're doing."
"portal.13_part1_endnag-4"	"<clr:219,112,147><I>Selv om medlidenhedsdrab er meget smertefuldt, mener otte ud af ti Aperture Science-ingeniører, at ledsagerkuben sandsynligvis ikke kan føle smerte."
"[english]portal.13_part1_endnag-4"	"<clr:219,112,147><I>Although the euthanizing process is remarkably painful, eight out of ten Aperture Science engineers believe that the Companion Cube is most likely incapable of feeling much pain."
"portal.07_part1_trapped-2"	"<clr:219,112,147><I>Der åbnes en nødudgang i tre... to... en."
"[english]portal.07_part1_trapped-2"	"<clr:219,112,147><I>An escape hatch will open in three... Two... One."
"portal.08_part1_entry-3"	"<clr:219,112,147><I>En intubationshjælper bliver sendt ind for at genoplive dig med peptisk salve og adrenalin."
"[english]portal.08_part1_entry-3"	"<clr:219,112,147><I>An intubation associate will be dispatched to revive you with peptic salve and adrenaline."
"portal.glados.core_nag_15"	"<clr:219,112,147><I>Hører du, hvad jeg siger?"
"[english]portal.glados.core_nag_15"	"<clr:219,112,147><I>Are you even listening to me?"
"portal.post_escape_bridge_07"	"<clr:219,112,147><I>Lytter du stadigvæk?"
"[english]portal.post_escape_bridge_07"	"<clr:219,112,147><I>Are you still listening?"
"portal.post_escape_bridge_08"	"<clr:219,112,147><I>Står du stadigvæk der?"
"[english]portal.post_escape_bridge_08"	"<clr:219,112,147><I>Are you still standing there?"
"portal.post_escape_bridge_09"	"<clr:219,112,147><I>Står du stadigvæk der?"
"[english]portal.post_escape_bridge_09"	"<clr:219,112,147><I>Are you still standing there?"
