"lang"
{
"Language"	"spanish"
"Tokens"
{
"portal.glados_core.aggressive_02"	"<clr:194,40,32><I>*CHIRRIDO*"
"[english]portal.glados_core.aggressive_02"	"<clr:194,40,32><I>*GNASH*"
"portal.glados_core.aggressive_panic_02"	"<clr:194,40,32><I>*GEMIDO*"
"[english]portal.glados_core.aggressive_panic_02"	"<clr:194,40,32><I>*GROAN*"
"portal.glados_core.aggressive_03"	"<clr:194,40,32><I>*GRUÑIDO*"
"[english]portal.glados_core.aggressive_03"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_04"	"<clr:194,40,32><I>*GRUÑIDO*"
"[english]portal.glados_core.aggressive_04"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_07"	"<clr:194,40,32><I>*GRUÑIDO*"
"[english]portal.glados_core.aggressive_07"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_08"	"<clr:194,40,32><I>*GRUÑIDO*"
"[english]portal.glados_core.aggressive_08"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_09"	"<clr:194,40,32><I>*GRUÑIDO*"
"[english]portal.glados_core.aggressive_09"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_11"	"<clr:194,40,32><I>*GRUÑIDO*"
"[english]portal.glados_core.aggressive_11"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_19"	"<clr:194,40,32><I>*GRUÑIDO*"
"[english]portal.glados_core.aggressive_19"	"<clr:194,40,32><I>*GROWL*"
"portal.glados_core.aggressive_13"	"<clr:194,40,32><I>*RESOPLIDO*"
"[english]portal.glados_core.aggressive_13"	"<clr:194,40,32><I>*GRUNT*"
"portal.glados_core.aggressive_05"	"<clr:194,40,32><I>*SILBIDO*"
"[english]portal.glados_core.aggressive_05"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_10"	"<clr:194,40,32><I>*SILBIDO*"
"[english]portal.glados_core.aggressive_10"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_12"	"<clr:194,40,32><I>*SILBIDO*"
"[english]portal.glados_core.aggressive_12"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_16"	"<clr:194,40,32><I>*SILBIDO*"
"[english]portal.glados_core.aggressive_16"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_17"	"<clr:194,40,32><I>*SILBIDO*"
"[english]portal.glados_core.aggressive_17"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_18"	"<clr:194,40,32><I>*SILBIDO*"
"[english]portal.glados_core.aggressive_18"	"<clr:194,40,32><I>*HISS*"
"portal.glados_core.aggressive_00"	"<clr:194,40,32><I>*JADEO*"
"[english]portal.glados_core.aggressive_00"	"<clr:194,40,32><I>*PANT*"
"portal.glados_core.aggressive_14"	"<clr:194,40,32><I>*RUGIDO*"
"[english]portal.glados_core.aggressive_14"	"<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_15"	"<clr:194,40,32><I>*RUGIDO*"
"[english]portal.glados_core.aggressive_15"	"<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_20"	"<clr:194,40,32><I>*RUGIDO*"
"[english]portal.glados_core.aggressive_20"	"<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_21"	"<clr:194,40,32><I>*RUGIDO*"
"[english]portal.glados_core.aggressive_21"	"<clr:194,40,32><I>*ROAR*"
"portal.glados_core.aggressive_01"	"<clr:194,40,32><I>*GRUÑIDO*"
"[english]portal.glados_core.aggressive_01"	"<clr:194,40,32><I>*SNARL*"
"portal.glados_core.aggressive_06"	"<clr:194,40,32><I>*BUFIDO*"
"[english]portal.glados_core.aggressive_06"	"<clr:194,40,32><I>*SNORT*"
"portal.glados_core.aggressive_panic_01"	"<clr:194,40,32><I>*¡YUJU!*"
"[english]portal.glados_core.aggressive_panic_01"	"<clr:194,40,32><I>*YIPE*"
"portal.glados_core.death"	"<clr:219,112,147><I>*GRITO*"
"[english]portal.glados_core.death"	"<clr:219,112,147><I>*SCREAM*"
"portal.escape_01_second_hit_nag01-1"	"<clr:219,112,147><I>¡Buaaaaaaaaaah!"
"[english]portal.escape_01_second_hit_nag01-1"	"<clr:219,112,147><I>[More intense pain sound]"
"portal.glados.escape_02_ballhitpain-02"	"<clr:219,112,147><I>¡Augh!"
"[english]portal.glados.escape_02_ballhitpain-02"	"<clr:219,112,147><I>[PAIN NOISE]"
"portal.glados.core_destroy3_01"	"<clr:219,112,147><I>¡Aaaaah! ¿Crees que me has hecho algo? Dos más dos son... bzzzzz... diez... ¡EN BASE CUATRO! ¡ESTOY BIEN!"
"[english]portal.glados.core_destroy3_01"	"<clr:219,112,147><I>[pain noise] You think you're doing some damage? Two plus two is ten... IN BASE FOUR! I'M FINE!"
"portal.escape_01_first_hit_nag01-1"	"<clr:219,112,147><I>¡Aaaugh!"
"[english]portal.escape_01_first_hit_nag01-1"	"<clr:219,112,147><I>[pain sound]"
"portal.08_part1_trapped-2"	"<clr:219,112,147><I>Se abrirá una salida, cortesía del Centro, en 3... 2... 1..."
"[english]portal.08_part1_trapped-2"	"<clr:219,112,147><I>A complimentary escape hatch will open in three... Two... One."
"portal.15_part1_partyspeech-5"	"<clr:219,112,147><I>El comité de festejos le guiará enseguida hasta su fiesta."
"[english]portal.15_part1_partyspeech-5"	"<clr:219,112,147><I>A party associate will arrive shortly to collect you for your party."
"portal.generic_crate_vaporized_in_emancipation_grid-2"	"<clr:219,112,147><I>Le entregaremos enseguida un Cubo Contenedor Contrapesado de repuesto."
"[english]portal.generic_crate_vaporized_in_emancipation_grid-2"	"<clr:219,112,147><I>A replacement Aperture Science Weighted Storage Cube will be delivered shortly."
"portal.15_part1_into_the_fire-2"	"<clr:219,112,147><I>El equipo de Aperture soporta temperaturas de hasta 4.000 grados Kelvin."
"[english]portal.15_part1_into_the_fire-2"	"<clr:219,112,147><I>All Aperture technologies remain safely operational up to 4000 degrees Kelvin."
"portal.glados.core_destroy4_04"	"<clr:219,112,147><I>Solo sé que soy lo último que se interpone entre nosotros y ellos. Mejor dicho, ERA."
"[english]portal.glados.core_destroy4_04"	"<clr:219,112,147><I>All I know is I'm the only thing standing between us and them. Well, I was."
"portal.09_part1_entry-1"	"<clr:219,112,147><I>Es nuestro deber informar a los sujetos que manipulan tecnología de portales de energía gamma inestable de que PODRÍA informárseles sobre posibles problemas."
"[english]portal.09_part1_entry-1"	"<clr:219,112,147><I>All subjects intending to handle high-energy gamma leaking portal technology must be informed that they MAY be informed of applicable regulatory compliance issues."
"portal.glados.escape_02_miscbabble-24"	"<clr:219,112,147><I>Tampoco podía venir ninguno de tus amigos, porque no existen. Y eso es porque nadie te quiere."
"[english]portal.glados.escape_02_miscbabble-24"	"<clr:219,112,147><I>All your other friends couldn't come either because you don't have any other friends. Because of how unlikable you are."
"portal.glados.core_destroy1_09"	"<clr:219,112,147><I>Venga, va, sigue haciendo lo que te de la gana."
"[english]portal.glados.core_destroy1_09"	"<clr:219,112,147><I>All right, keep doing whatever it is you think you're doing."
"portal.13_part1_endnag-4"	"<clr:219,112,147><I>Aunque el proceso de eutanasia es brutalmente doloroso, 8 de cada 10 ingenieros de Aperture Science opinan que el Cubo es, posiblemente, incapaz de sentir mucho dolor."
"[english]portal.13_part1_endnag-4"	"<clr:219,112,147><I>Although the euthanizing process is remarkably painful, eight out of ten Aperture Science engineers believe that the Companion Cube is most likely incapable of feeling much pain."
"portal.07_part1_trapped-2"	"<clr:219,112,147><I>Se abrirá una salida en 3... 2... 1..."
"[english]portal.07_part1_trapped-2"	"<clr:219,112,147><I>An escape hatch will open in three... Two... One."
"portal.08_part1_entry-3"	"<clr:219,112,147><I>Enviaremos a un técnico intubador a reanimarla con bálsamo péptico y adrenalina."
"[english]portal.08_part1_entry-3"	"<clr:219,112,147><I>An intubation associate will be dispatched to revive you with peptic salve and adrenaline."
"portal.glados.core_nag_15"	"<clr:219,112,147><I>¿Es que no me escuchas?"
"[english]portal.glados.core_nag_15"	"<clr:219,112,147><I>Are you even listening to me?"
"portal.post_escape_bridge_07"	"<clr:219,112,147><I>¿Sigues oyéndome?"
"[english]portal.post_escape_bridge_07"	"<clr:219,112,147><I>Are you still listening?"
"portal.post_escape_bridge_08"	"<clr:219,112,147><I>¿Aún sigues ahí?"
"[english]portal.post_escape_bridge_08"	"<clr:219,112,147><I>Are you still standing there?"
"portal.post_escape_bridge_09"	"<clr:219,112,147><I>¿Aún sigues ahí?"
"[english]portal.post_escape_bridge_09"	"<clr:219,112,147><I>Are you still standing there?"
