"lang"
{
"Language"	"greek"
"Tokens"
{
"Valve_Primary_Attack"	"Δημιουργία μπλε πύλης"
"[english]Valve_Primary_Attack"	"Fire blue portal"
"Valve_Secondary_Attack"	"Δημιουργία κόκκινης πύλης"
"[english]Valve_Secondary_Attack"	"Fire red portal"
"Portal_Chapter1_Title"	"Θάλαμος δοκιμών 00"
"[english]Portal_Chapter1_Title"	"Testchamber 00"
"Portal_Chapter2_Title"	"Θάλαμος δοκιμών 04"
"[english]Portal_Chapter2_Title"	"Testchamber 04"
"Portal_Chapter3_Title"	"Θάλαμος δοκιμών 08"
"[english]Portal_Chapter3_Title"	"Testchamber 08"
"Portal_Chapter4_Title"	"Θάλαμος δοκιμών 10"
"[english]Portal_Chapter4_Title"	"Testchamber 10"
"Portal_Chapter5_Title"	"Θάλαμος δοκιμών 13"
"[english]Portal_Chapter5_Title"	"Testchamber 13"
"Portal_Chapter6_Title"	"Θάλαμος δοκιμών 14"
"[english]Portal_Chapter6_Title"	"Testchamber 14"
"Portal_Chapter7_Title"	"Θάλαμος δοκιμών 15"
"[english]Portal_Chapter7_Title"	"Testchamber 15"
"Portal_Chapter8_Title"	"Θάλαμος δοκιμών 16"
"[english]Portal_Chapter8_Title"	"Testchamber 16"
"Portal_Chapter9_Title"	"Θάλαμος δοκιμών 17"
"[english]Portal_Chapter9_Title"	"Testchamber 17"
"Portal_Chapter10_Title"	"Θάλαμος δοκιμών 18"
"[english]Portal_Chapter10_Title"	"Testchamber 18"
"Portal_Chapter11_Title"	"Θάλαμος δοκιμών 19"
"[english]Portal_Chapter11_Title"	"Testchamber 19"
"Portal_Chapter12_Title"	"Το πείραμα ολοκληρώθηκε"
"[english]Portal_Chapter12_Title"	"Testing Complete"
"hint_get_portal_1"	"%+attack% ΑΝΟΙΓΜΑ ΜΠΛΕ ΠΥΛΗΣ"
"[english]hint_get_portal_1"	"%+attack% TO PLACE THE BLUE PORTAL"
"hint_get_portal_2"	"%+attack2% ΑΝΟΙΓΜΑ ΠΟΡΤΟΚΑΛΙ ΠΥΛΗΣ"
"[english]hint_get_portal_2"	"%+attack2% TO PLACE THE ORANGE PORTAL"
"hint_use_items"	"%+use% ΑΠΟΚΤΗΣΗ ΑΝΤΙΚΕΙΜΕΝΟΥ"
"[english]hint_use_items"	"%+use% TO PICKUP AN OBJECT"
"hint_drop_items"	"%+use% ΑΠΟΘΕΣΗ ΑΝΤΙΚΕΙΜΕΝΟΥ"
"[english]hint_drop_items"	"%+use% TO DROP AN OBJECT"
"hint_use_switches"	"%+use% ΧΡΗΣΗ"
"[english]hint_use_switches"	"%+use% TO USE"
"hint_duck"	"%+duck% ΣΚΥΨΙΜΟ"
"[english]hint_duck"	"%+duck% TO CROUCH"
"hint_move_ctrls"	"ΜΠΡΟΣΤΑ %+forward%ΠΙΣΩ %+back%ΑΡΙΣΤΕΡΑ %+moveleft%ΔΕΞΙΑ %+moveright%"
"[english]hint_move_ctrls"	"FORWARD %+forward%BACK %+back%LEFT %+moveleft%RIGHT %+moveright%"
"hint_jump"	"%+jump% ΑΛΜΑ"
"[english]hint_jump"	"%+jump% TO JUMP"
"HL2_Enable_Commentary"	"Ενεργοποίηση ηχητικού σχολιασμού"
"[english]HL2_Enable_Commentary"	"Enable commentary track"
"hl2_AmmoFull"	"ΓΕΜΑΤΟ"
"[english]hl2_AmmoFull"	"FULL"
"HL2_GameOver_Object"	"ΑΠΟΣΤΟΛΗ: ΑΠΟΤΥΧΙΑ\nΥΠΟΚΕΙΜΕΝΟ: FREEMAN\nΑΙΤΙΑ: ΑΝΙΚΑΝΟΤΗΤΑ ΠΡΟΣΤΑΣΙΑΣ ΠΟΡΩΝ ΖΩΤΙΚΗΣ ΣΗΜΑΣΙΑΣ"
"[english]HL2_GameOver_Object"	"ASSIGNMENT: TERMINATED\nSUBJECT: FREEMAN\nREASON: FAILURE TO PRESERVE MISSION-CRITICAL RESOURCES"
"HL2_GameOver_Ally"	"ΑΠΟΣΤΟΛΗ: ΑΠΟΤΥΧΙΑ\nΥΠΟΚΕΙΜΕΝΟ: FREEMAN\nΑΙΤΙΑ: ΑΝΙΚΑΝΟΤΗΤΑ ΠΡΟΣΤΑΣΙΑΣ ΠΡΟΣΩΠΙΚΟΥ ΖΩΤΙΚΗΣ ΣΗΜΑΣΙΑΣ"
"[english]HL2_GameOver_Ally"	"ASSIGNMENT: TERMINATED\nSUBJECT: FREEMAN\nREASON: FAILURE TO PRESERVE MISSION-CRITICAL PERSONNEL"
"HL2_GameOver_Timer"	"ΑΠΟΣΤΟΛΗ: ΑΠΟΤΥΧΙΑ\nΥΠΟΚΕΙΜΕΝΟ: FREEMAN\nΑΙΤΙΑ: ΑΝΙΚΑΝΟΤΗΤΑ ΕΜΠΟΔΙΣΗΣ ΚΑΙΡΙΑΣ ΧΡΟΝΙΚΗΣ ΑΚΟΛΟΥΘΙΑΣ"
"[english]HL2_GameOver_Timer"	"ASSIGNMENT: TERMINATED\nSUBJECT: FREEMAN\nREASON: FAILURE TO PREVENT TIME-CRITICAL SEQUENCE"
"HL2_GameOver_Stuck"	"ΑΠΟΣΤΟΛΗ: ΑΠΟΤΥΧΙΑ\nΥΠΟΚΕΙΜΕΝΟ: FREEMAN\nΑΙΤΙΑ: ΕΠΙΔΕΙΞΗ ΥΠΕΡΒΟΛΙΚΑ ΚΑΚΗΣ ΚΡΙΣΗΣ"
"[english]HL2_GameOver_Stuck"	"ASSIGNMENT: TERMINATED\nSUBJECT: FREEMAN\nREASON: DEMONSTRATION OF EXCEEDINGLY POOR JUDGMENT"
"Portal_Portalgun"	"ΟΠΛΟ ΠΥΛΩΝ"
"[english]Portal_Portalgun"	"PORTALGUN"
"HL2_357Handgun"	".357 MAGNUM"
"[english]HL2_357Handgun"	".357 MAGNUM"
"HL2_Pulse_Rifle"	"OVERWATCH STANDARD ISSUE\n(PULSE-RIFLE)"
"[english]HL2_Pulse_Rifle"	"OVERWATCH STANDARD ISSUE\n(PULSE-RIFLE)"
"HL2_Bugbait"	"ΦΕΡΟΚΥΣΤΗ\n(ΕΝΤΟΜΟΠΑΓΙΔΑ)"
"[english]HL2_Bugbait"	"PHEROPOD\n(BUGBAIT)"
"HL2_Crossbow"	"ΒΑΛΛΙΣΤΡΑ"
"[english]HL2_Crossbow"	"CROSSBOW"
"HL2_Crowbar"	"ΛΟΣΤΟΣ"
"[english]HL2_Crowbar"	"CROWBAR"
"HL2_Grenade"	"ΧΕΙΡΟΒΟΜΒΙΔΑ"
"[english]HL2_Grenade"	"GRENADE"
"HL2_GravityGun"	"ΜΕΤΑΤΡΟΠΕΑΣ ΠΕΔΙΟΥ ΜΗΔΕΝΙΚΗΣ ΕΝΕΡΓΕΙΑΚΗΣ ΣΥΧΝΟΤΗΤΑΣ\n(ΟΠΛΟ ΒΑΡΥΤΗΤΑΣ)"
"[english]HL2_GravityGun"	"ZERO-POINT ENERGY GUN\n(GRAVITY GUN)"
"HL2_Pistol"	"ΠΙΣΤΟΛΙ 9ΜΜ"
"[english]HL2_Pistol"	"9MM PISTOL"
"HL2_RPG"	"RPG\n(ΕΚΤΟΞΕΥΤΗΣ ΡΟΥΚΕΤΩΝ)"
"[english]HL2_RPG"	"RPG\n(ROCKET PROPELLED GRENADE)"
"HL2_Shotgun"	"ΚΑΡΑΜΠΙΝΑ"
"[english]HL2_Shotgun"	"SHOTGUN"
"HL2_SMG1"	"SMG\n(ΥΠΟΠΟΛΥΒΟΛΟ)"
"[english]HL2_SMG1"	"SMG\n(SUBMACHINE GUN)"
"Portal_Saved"	"Αποθηκεύτηκε..."
"[english]Portal_Saved"	"Saved..."
"Valve_Hud_BONUS_PROGRESS01"	"ΠΥΛΕΣ"
"[english]Valve_Hud_BONUS_PROGRESS01"	"PORTALS"
"Valve_Hud_BONUS_PROGRESS02"	"ΒΗΜΑΤΑ"
"[english]Valve_Hud_BONUS_PROGRESS02"	"STEPS"
"Valve_Hud_BONUS_PROGRESS03"	"ΧΡΟΝΟΣ"
"[english]Valve_Hud_BONUS_PROGRESS03"	"TIME"
"Bonus_Map_Cheated"	"ΚΛΕΨΙΑ!"
"[english]Bonus_Map_Cheated"	"CHEATED!"
"Bonus_Map_Challenges"	"Προκλήσεις"
"[english]Bonus_Map_Challenges"	"Challenges"
"Bonus_Map_ChallengesComment"	"Οι θάλαμοι δοκιμών με ένα πρόσθετο στρώμα γρίφων."
"[english]Bonus_Map_ChallengesComment"	"The test chambers with an extra layer of goal-based puzzles."
"Bonus_Map_TC13Challenges"	"Θάλαμος δοκιμών 13: Προκλήσεις"
"[english]Bonus_Map_TC13Challenges"	"Test Chamber 13: Challenges"
