"lang"
{
"Language"	"finnish"
"Tokens"
{
"hl2_AmmoFull"	"TÄYNNÄ"
"[english]hl2_AmmoFull"	"FULL"
"X_STRINGID_TITLENAME"	"Portal 2"
"[english]X_STRINGID_TITLENAME"	"Portal 2"
"X_STRINGID_RANK"	"Sijoitus"
"[english]X_STRINGID_RANK"	"Rank"
"X_STRINGID_GAMERNAME"	"Pelaajan nimi"
"[english]X_STRINGID_GAMERNAME"	"Gamer Name"
"X_STRINGID_GAMER_ZONE"	"Pelaajan alue"
"[english]X_STRINGID_GAMER_ZONE"	"Gamer Zone"
"X_STRINGID_GAMER_COUNTRY"	"Pelaajan maa"
"[english]X_STRINGID_GAMER_COUNTRY"	"Gamer Country"
"X_STRINGID_LANGUAGE"	"Kieli"
"[english]X_STRINGID_LANGUAGE"	"Language"
"X_STRINGID_GAMER_RATING"	"Pelaajan sijoitus"
"[english]X_STRINGID_GAMER_RATING"	"Gamer Rating"
"X_STRINGID_GAMER_MU"	"Pelaaja: Myy"
"[english]X_STRINGID_GAMER_MU"	"Gamer Mu"
"X_STRINGID_GAMER_SIGMA"	"Pelaaja: Sigma"
"[english]X_STRINGID_GAMER_SIGMA"	"Gamer Sigma"
"X_STRINGID_GAMER_PUID"	"Pelaajan PUID"
"[english]X_STRINGID_GAMER_PUID"	"Gamer PUID"
"X_STRINGID_AFFILIATE_VALUE"	"Jäsenarvo"
"[english]X_STRINGID_AFFILIATE_VALUE"	"Affiliate Value"
"X_STRINGID_GAMER_HOSTNAME"	"Pelaajan isäntänimi"
"[english]X_STRINGID_GAMER_HOSTNAME"	"Gamer Host Name"
"X_STRINGID_PLATFORM_TYPE"	"Alustatyyppi"
"[english]X_STRINGID_PLATFORM_TYPE"	"Platform Type"
"X_STRINGID_PLATFORM_LOCK"	"Alustalukitus"
"[english]X_STRINGID_PLATFORM_LOCK"	"Platform Lock"
"X_STRINGID_GAMETYPE"	"Pelityyppi"
"[english]X_STRINGID_GAMETYPE"	"Game Type"
"X_STRINGID_RANKED"	"Ranked Match"
"[english]X_STRINGID_RANKED"	"Ranked Match"
"X_STRINGID_STANDARD"	"Player Match"
"[english]X_STRINGID_STANDARD"	"Player Match"
"X_STRINGID_RANKCOL"	"Sijoitus"
"[english]X_STRINGID_RANKCOL"	"Rank"
"X_STRINGID_GAMERNAMECOL"	"Pelaajan nimi"
"[english]X_STRINGID_GAMERNAMECOL"	"Gamer Name"
"PS3_PLATINUM_TROPHY_T"	"Portal 2 Platinum Trophy"
"[english]PS3_PLATINUM_TROPHY_T"	"Portal 2 Platinum Trophy"
"PS3_PLATINUM_TROPHY_D"	"Kaikki Portal 2 -trophyt kerätty"
"[english]PS3_PLATINUM_TROPHY_D"	"Collected all other Portal 2 trophies"
"PS3_STRINGID_TITLETROPHYSET"	"Portal 2:n trophyt"
"[english]PS3_STRINGID_TITLETROPHYSET"	"Trophy set for Portal 2"
"RICHPRESENCE_IDLE"	"Toimeton"
"[english]RICHPRESENCE_IDLE"	"Idle"
"RICHPRESENCE_MAINMENU"	"Päävalikko"
"[english]RICHPRESENCE_MAINMENU"	"Main Menu"
"RICHPRESENCE_SP"	"{c0}"
"[english]RICHPRESENCE_SP"	"{c0}"
"RICHPRESENCE_COOPMENU"	"Yhteistyöpelin valikko\n{c1}"
"[english]RICHPRESENCE_COOPMENU"	"Coop Menu\n{c1}"
"RICHPRESENCE_COOPGAME"	"{c2}\n{c3}"
"[english]RICHPRESENCE_COOPGAME"	"{c2}\n{c3}"
"RICHPRESENCE_COOPGAME_TRACK"	"{c2}\n{c3} {p0x10000023}/{p0x10000024}"
"[english]RICHPRESENCE_COOPGAME_TRACK"	"{c2}\n{c3} {p0x10000023}/{p0x10000024}"
"SP_PRESENCE_TEXT_DEFAULT"	"Käynnissä yksinpeli"
"[english]SP_PRESENCE_TEXT_DEFAULT"	"Playing Single Player"
"SP_PRESENCE_TEXT_CH1"	"Luku 1\nHerätys"
"[english]SP_PRESENCE_TEXT_CH1"	"Chapter 1\nThe Courtesy Call"
"SP_PRESENCE_TEXT_CH2"	"Luku 2\nKylmäkäynnistys"
"[english]SP_PRESENCE_TEXT_CH2"	"Chapter 2\nThe Cold Boot"
"SP_PRESENCE_TEXT_CH3"	"Luku 3\nPaluu"
"[english]SP_PRESENCE_TEXT_CH3"	"Chapter 3\nThe Return"
"SP_PRESENCE_TEXT_CH4"	"Luku 4\nYllätys"
"[english]SP_PRESENCE_TEXT_CH4"	"Chapter 4\nThe Surprise"
"SP_PRESENCE_TEXT_CH5"	"Luku 5\nPako"
"[english]SP_PRESENCE_TEXT_CH5"	"Chapter 5\nThe Escape"
"SP_PRESENCE_TEXT_CH6"	"Luku 6\nPudotus"
"[english]SP_PRESENCE_TEXT_CH6"	"Chapter 6\nThe Fall"
"SP_PRESENCE_TEXT_CH7"	"Luku 7\nJälleennäkeminen"
"[english]SP_PRESENCE_TEXT_CH7"	"Chapter 7\nThe Reunion"
"SP_PRESENCE_TEXT_CH8"	"Luku 8\nKutina"
"[english]SP_PRESENCE_TEXT_CH8"	"Chapter 8\nThe Itch"
"SP_PRESENCE_TEXT_CH9"	"Luku 9\nOsa jossa..."
"[english]SP_PRESENCE_TEXT_CH9"	"Chapter 9\nThe Part Where..."
"SP_PRESENCE_TEXT_CH10"	"Luku 10\nLopputekstit"
"[english]SP_PRESENCE_TEXT_CH10"	"Chapter 10\nThe Credits"
"COOP_PRESENCE_WAITING_DEFAULT"	"Odotetaan kumppania"
"[english]COOP_PRESENCE_WAITING_DEFAULT"	"Waiting for Partner"
"COOP_PRESENCE_WAITING_SPLITSCREEN"	"Jaettu näyttö"
"[english]COOP_PRESENCE_WAITING_SPLITSCREEN"	"Splitscreen"
"COOP_PRESENCE_WAITING_SYSTEMLINK"	"System Link"
"[english]COOP_PRESENCE_WAITING_SYSTEMLINK"	"System Link"
"COOP_PRESENCE_WAITING_FRIEND"	"Odotetaan kumppania"
"[english]COOP_PRESENCE_WAITING_FRIEND"	"Waiting for Partner"
"COOP_PRESENCE_WAITING_QUICKMATCH"	"Odotetaan muukalaista"
"[english]COOP_PRESENCE_WAITING_QUICKMATCH"	"Waiting for Stranger"
"COOP_PRESENCE_TAGLINE_DEFAULT"	"Pelaamassa yhteistyöpeliä"
"[english]COOP_PRESENCE_TAGLINE_DEFAULT"	"Playing Co-op"
"COOP_PRESENCE_TAGLINE_SPLITSCREEN"	"Jaetun näytön yhteistyöpeli"
"[english]COOP_PRESENCE_TAGLINE_SPLITSCREEN"	"Co-op Splitscreen"
"COOP_PRESENCE_TAGLINE_SYSTEMLINK"	"System Link -yhteistyöpeli"
"[english]COOP_PRESENCE_TAGLINE_SYSTEMLINK"	"Co-op System Link"
"COOP_PRESENCE_TAGLINE_FRIEND"	"Yhteistyöpeli kaverin kanssa"
"[english]COOP_PRESENCE_TAGLINE_FRIEND"	"Co-op with Friend"
"COOP_PRESENCE_TAGLINE_QUICKMATCH"	"Yhteistyöpeli tuntemattoman kanssa"
"[english]COOP_PRESENCE_TAGLINE_QUICKMATCH"	"Co-op with Stranger"
"COOP_PRESENCE_TRACK_DEFAULT"	"Yhteistyörata"
"[english]COOP_PRESENCE_TRACK_DEFAULT"	"Co-op Track"
"COOP_PRESENCE_TRACK_CALIBRATION"	"Kalibrointirata"
"[english]COOP_PRESENCE_TRACK_CALIBRATION"	"Calibration Course"
"COOP_PRESENCE_TRACK_HUB"	"Ilo irti keskuksesta"
"[english]COOP_PRESENCE_TRACK_HUB"	"Enjoying the Hub"
"COOP_PRESENCE_TRACK_TRACK1"	"Tiimipeliä"
"[english]COOP_PRESENCE_TRACK_TRACK1"	"Team Building"
"COOP_PRESENCE_TRACK_TRACK2"	"Massa ja nopeus"
"[english]COOP_PRESENCE_TRACK_TRACK2"	"Mass and Velocity"
"COOP_PRESENCE_TRACK_TRACK3"	"Kova valo"
"[english]COOP_PRESENCE_TRACK_TRACK3"	"Hard Light"
"COOP_PRESENCE_TRACK_TRACK4"	"Kulkutunnelit"
"[english]COOP_PRESENCE_TRACK_TRACK4"	"Excursion Funnels"
"COOP_PRESENCE_TRACK_TRACK5"	"Liikkuvuusgeelit"
"[english]COOP_PRESENCE_TRACK_TRACK5"	"Mobility Gels"
"COOP_PRESENCE_TRACK_CREDITS"	"Tekijätiedot"
"[english]COOP_PRESENCE_TRACK_CREDITS"	"Credits"
"GAME_MODE_SP"	"Yksinpeli"
"[english]GAME_MODE_SP"	"Single Player"
"GAME_MODE_COOP"	"Yhteistyöpeli"
"[english]GAME_MODE_COOP"	"Cooperative"
"ACH_SURVIVE_CONTAINER_RIDE_T"	"Herätys"
