"lang"
{
"Language"	"pirate"
"Tokens"
{
"hl2_AmmoFull"	"FULL"
"[english]hl2_AmmoFull"	"FULL"
"X_STRINGID_TITLENAME"	"Portal 2"
"[english]X_STRINGID_TITLENAME"	"Portal 2"
"X_STRINGID_RANK"	"Rank"
"[english]X_STRINGID_RANK"	"Rank"
"X_STRINGID_GAMERNAME"	"Gamer Title"
"[english]X_STRINGID_GAMERNAME"	"Gamer Name"
"X_STRINGID_GAMER_ZONE"	"Gamer Zone"
"[english]X_STRINGID_GAMER_ZONE"	"Gamer Zone"
"X_STRINGID_GAMER_COUNTRY"	"Gamer Country"
"[english]X_STRINGID_GAMER_COUNTRY"	"Gamer Country"
"X_STRINGID_LANGUAGE"	"Tongue"
"[english]X_STRINGID_LANGUAGE"	"Language"
"X_STRINGID_GAMER_RATING"	"Gamer Ranking"
"[english]X_STRINGID_GAMER_RATING"	"Gamer Rating"
"X_STRINGID_GAMER_MU"	"Gamer Mu"
"[english]X_STRINGID_GAMER_MU"	"Gamer Mu"
"X_STRINGID_GAMER_SIGMA"	"Gamer Sigma"
"[english]X_STRINGID_GAMER_SIGMA"	"Gamer Sigma"
"X_STRINGID_GAMER_PUID"	"Gamer PUID"
"[english]X_STRINGID_GAMER_PUID"	"Gamer PUID"
"X_STRINGID_AFFILIATE_VALUE"	"Affiliate Value"
"[english]X_STRINGID_AFFILIATE_VALUE"	"Affiliate Value"
"X_STRINGID_GAMER_HOSTNAME"	"Gamer Host Title"
"[english]X_STRINGID_GAMER_HOSTNAME"	"Gamer Host Name"
"X_STRINGID_PLATFORM_TYPE"	"Platform Type"
"[english]X_STRINGID_PLATFORM_TYPE"	"Platform Type"
"X_STRINGID_PLATFORM_LOCK"	"Platform Lock"
"[english]X_STRINGID_PLATFORM_LOCK"	"Platform Lock"
"X_STRINGID_GAMETYPE"	"Game Type"
"[english]X_STRINGID_GAMETYPE"	"Game Type"
"X_STRINGID_RANKED"	"Ranked Battle"
"[english]X_STRINGID_RANKED"	"Ranked Match"
"X_STRINGID_STANDARD"	"Scallywag Battle"
"[english]X_STRINGID_STANDARD"	"Player Match"
"X_STRINGID_RANKCOL"	"Rank"
"[english]X_STRINGID_RANKCOL"	"Rank"
"X_STRINGID_GAMERNAMECOL"	"Gamer Title"
"[english]X_STRINGID_GAMERNAMECOL"	"Gamer Name"
"PS3_PLATINUM_TROPHY_T"	"Portal 2 Platinum Trophy"
"[english]PS3_PLATINUM_TROPHY_T"	"Portal 2 Platinum Trophy"
"PS3_PLATINUM_TROPHY_D"	"Collected all other Portal 2 trophies"
"[english]PS3_PLATINUM_TROPHY_D"	"Collected all other Portal 2 trophies"
"PS3_STRINGID_TITLETROPHYSET"	"Trophy set fer Portal 2"
"[english]PS3_STRINGID_TITLETROPHYSET"	"Trophy set for Portal 2"
"RICHPRESENCE_IDLE"	"Doin' Nothin'"
"[english]RICHPRESENCE_IDLE"	"Idle"
"RICHPRESENCE_MAINMENU"	"Main Table"
"[english]RICHPRESENCE_MAINMENU"	"Main Menu"
"RICHPRESENCE_SP"	"{c0}"
"[english]RICHPRESENCE_SP"	"{c0}"
"RICHPRESENCE_COOPMENU"	"Coop Menu\n{c1}"
"[english]RICHPRESENCE_COOPMENU"	"Coop Menu\n{c1}"
"RICHPRESENCE_COOPGAME"	"{c2}\n{c3}"
"[english]RICHPRESENCE_COOPGAME"	"{c2}\n{c3}"
"RICHPRESENCE_COOPGAME_TRACK"	"{c2}\n{c3} {p0x10000023}/{p0x10000024}"
"[english]RICHPRESENCE_COOPGAME_TRACK"	"{c2}\n{c3} {p0x10000023}/{p0x10000024}"
"SP_PRESENCE_TEXT_DEFAULT"	"Plunderin' Crewless"
"[english]SP_PRESENCE_TEXT_DEFAULT"	"Playing Single Player"
"SP_PRESENCE_TEXT_CH1"	"Chapter 1\nTh' Courtesy Call"
"[english]SP_PRESENCE_TEXT_CH1"	"Chapter 1\nThe Courtesy Call"
"SP_PRESENCE_TEXT_CH2"	"Chapter 2\nTh' Cold Boot"
"[english]SP_PRESENCE_TEXT_CH2"	"Chapter 2\nThe Cold Boot"
"SP_PRESENCE_TEXT_CH3"	"Chapter 3\nTh' Return"
"[english]SP_PRESENCE_TEXT_CH3"	"Chapter 3\nThe Return"
"SP_PRESENCE_TEXT_CH4"	"Chapter 4\nTh' Surprise"
"[english]SP_PRESENCE_TEXT_CH4"	"Chapter 4\nThe Surprise"
"SP_PRESENCE_TEXT_CH5"	"Chapter 5\nTh' Escape"
"[english]SP_PRESENCE_TEXT_CH5"	"Chapter 5\nThe Escape"
"SP_PRESENCE_TEXT_CH6"	"Chapter 6\nTh' Fall"
"[english]SP_PRESENCE_TEXT_CH6"	"Chapter 6\nThe Fall"
"SP_PRESENCE_TEXT_CH7"	"Chapter 7\nTh' Reunion"
"[english]SP_PRESENCE_TEXT_CH7"	"Chapter 7\nThe Reunion"
"SP_PRESENCE_TEXT_CH8"	"Chapter 8\nTh' Itch"
"[english]SP_PRESENCE_TEXT_CH8"	"Chapter 8\nThe Itch"
"SP_PRESENCE_TEXT_CH9"	"Chapter 9\nTh' Part Where..."
"[english]SP_PRESENCE_TEXT_CH9"	"Chapter 9\nThe Part Where..."
"SP_PRESENCE_TEXT_CH10"	"Chapter 10\nList O' People Who Made This"
"[english]SP_PRESENCE_TEXT_CH10"	"Chapter 10\nThe Credits"
"COOP_PRESENCE_WAITING_DEFAULT"	"Waiting fer Crewmate"
"[english]COOP_PRESENCE_WAITING_DEFAULT"	"Waiting for Partner"
"COOP_PRESENCE_WAITING_SPLITSCREEN"	"Splitscreen"
"[english]COOP_PRESENCE_WAITING_SPLITSCREEN"	"Splitscreen"
"COOP_PRESENCE_WAITING_SYSTEMLINK"	"System Link"
"[english]COOP_PRESENCE_WAITING_SYSTEMLINK"	"System Link"
"COOP_PRESENCE_WAITING_FRIEND"	"Waiting fer Crewmate"
"[english]COOP_PRESENCE_WAITING_FRIEND"	"Waiting for Partner"
"COOP_PRESENCE_WAITING_QUICKMATCH"	"Waiting fer Stranger"
"[english]COOP_PRESENCE_WAITING_QUICKMATCH"	"Waiting for Stranger"
"COOP_PRESENCE_TAGLINE_DEFAULT"	"Playing Co-op"
"[english]COOP_PRESENCE_TAGLINE_DEFAULT"	"Playing Co-op"
"COOP_PRESENCE_TAGLINE_SPLITSCREEN"	"Co-op Splitscreen"
"[english]COOP_PRESENCE_TAGLINE_SPLITSCREEN"	"Co-op Splitscreen"
"COOP_PRESENCE_TAGLINE_SYSTEMLINK"	"Co-op System Link"
"[english]COOP_PRESENCE_TAGLINE_SYSTEMLINK"	"Co-op System Link"
"COOP_PRESENCE_TAGLINE_FRIEND"	"Co-op wit' a Matey"
"[english]COOP_PRESENCE_TAGLINE_FRIEND"	"Co-op with Friend"
"COOP_PRESENCE_TAGLINE_QUICKMATCH"	"Co-op wit' Stranger"
"[english]COOP_PRESENCE_TAGLINE_QUICKMATCH"	"Co-op with Stranger"
"COOP_PRESENCE_TRACK_DEFAULT"	"Co-op Track"
"[english]COOP_PRESENCE_TRACK_DEFAULT"	"Co-op Track"
"COOP_PRESENCE_TRACK_HUB"	"Enjoyin' th' Hub"
"[english]COOP_PRESENCE_TRACK_HUB"	"Enjoying the Hub"
"COOP_PRESENCE_TRACK_TRACK1"	"Crew Bondin'"
"[english]COOP_PRESENCE_TRACK_TRACK1"	"Team Building"
"COOP_PRESENCE_TRACK_TRACK2"	"Movin' Through Portholes"
"[english]COOP_PRESENCE_TRACK_TRACK2"	"Mass and Velocity"
"COOP_PRESENCE_TRACK_TRACK5"	"Mobility Oils"
"[english]COOP_PRESENCE_TRACK_TRACK5"	"Mobility Gels"
"COOP_PRESENCE_TRACK_CREDITS"	"List o' people who made this"
"[english]COOP_PRESENCE_TRACK_CREDITS"	"Credits"
"GAME_MODE_SP"	"Crewless"
"[english]GAME_MODE_SP"	"Single Player"
"GAME_MODE_COOP"	"Cooperative"
"[english]GAME_MODE_COOP"	"Cooperative"
"ACH_WAKE_UP_T"	"Way-hay, and up she rises!"
"[english]ACH_WAKE_UP_T"	"You Monster"
"ACH_BRIDGE_T"	"Plank Over Troublin' Seas"
"[english]ACH_BRIDGE_T"	"Bridge Over Troubling Water"
"ACH_BREAK_OUT_D"	"Make a break fer it"
"[english]ACH_BREAK_OUT_D"	"Make a break for it"
"ACH_STALEMATE_ASSOCIATE_D"	"Press th' button!"
"[english]ACH_STALEMATE_ASSOCIATE_D"	"Press the button!"
"ACH_ADDICTED_TO_SPUDS_D"	"Carry alchemy onwards"
"[english]ACH_ADDICTED_TO_SPUDS_D"	"Carry science forward"
"ACH_BLUE_GEL_D"	"Master th' Repulsion Gel"
