"lang"
{
"Language"	"brazilian"
"Tokens"
{
"announcer.a4_recapture01"	"<clr:250,231,181>Locutor: Explosão iminente. Evacue as instalações imediatamente."
"[english]announcer.a4_recapture01"	"<clr:250,231,181>Announcer: Explosion imminent. Evacuate the facility immediately."
"announcer.a4_recapture03"	"<clr:250,231,181>Locutor: Alerta: o núcleo do reator está em temperatura crítica."
"[english]announcer.a4_recapture03"	"<clr:250,231,181>Announcer: Warning. Reactor core is at critical temperature."
"announcer.a4_recapture04"	"<clr:250,231,181>Locutor: Alerta: núcleo superaquecendo. Fusão nuclear iminente."
"[english]announcer.a4_recapture04"	"<clr:250,231,181>Announcer: Warning: Core overheating. Nuclear meltdown imminent."
"announcer.bb_corruption03"	"<clr:250,231,181>Locutor: Alerta: deterioração do núcleo em 50 por cento."
"[english]announcer.bb_corruption03"	"<clr:250,231,181>Announcer: Warning: Core corruption at 50 percent."
"announcer.bb_corruption04"	"<clr:250,231,181>Locutor: Alerta: deterioração do núcleo em 75 por cento."
"[english]announcer.bb_corruption04"	"<clr:250,231,181>Announcer: Warning: Core corruption at 75 percent."
"announcer.bb_corruption06"	"<clr:250,231,181>Locutor: Alerta: deterioração do núcleo em 100 por cento."
"[english]announcer.bb_corruption06"	"<clr:250,231,181>Announcer: Warning: Core corruption at 100 percent."
"announcer.bb_neurotoxin01"	"<clr:250,231,181>Locutor: Nível de neurotoxina atingindo a capacidade máxima em cinco minutos."
"[english]announcer.bb_neurotoxin01"	"<clr:250,231,181>Announcer: Neurotoxin level at capacity in five minutes."
"announcer.bb_neurotoxin06"	"<clr:250,231,181>Locutor: Sistema de ventilação comprometido. Neurotoxina desconectada."
"[english]announcer.bb_neurotoxin06"	"<clr:250,231,181>Announcer: Vent system compromised: Neurotoxin offline."
"announcer.bb_reactor02"	"<clr:250,231,181>Locutor: Explosão do reator em quatro minutos."
"[english]announcer.bb_reactor02"	"<clr:250,231,181>Announcer: Reactor explosion in four minutes."
"announcer.bb_reactor06"	"<clr:250,231,181>Locutor: Cronômetro da explosão do reator destruído."
"[english]announcer.bb_reactor06"	"<clr:250,231,181>Announcer: Reactor Explosion Timer destroyed."
"announcer.bb_reactor07"	"<clr:250,231,181>Locutor: Protocolo de Prioridade de Emergência de Incerteza de Explosão do Reator iniciado: essas instalações se autodestruirão em dois minutos."
"[english]announcer.bb_reactor07"	"<clr:250,231,181>Announcer: Reactor Explosion Uncertainty Emergency Preemption Protocol initiated: This facility will self destruct in two minutes."
"announcer.bb_stalemate01"	"<clr:250,231,181>Locutor: Reposição manual do núcleo necessária."
"[english]announcer.bb_stalemate01"	"<clr:250,231,181>Announcer: Manual core replacement required."
"announcer.bb_stalemate02"	"<clr:250,231,181>Locutor: Núcleo substituto: você está pronto para iniciar?"
"[english]announcer.bb_stalemate02"	"<clr:250,231,181>Announcer: Substitute Core: Are you ready to start?"
"announcer.bb_stalemate03"	"<clr:250,231,181>Locutor: Núcleo deteriorado: você está pronto para iniciar?"
"[english]announcer.bb_stalemate03"	"<clr:250,231,181>Announcer: Corrupted Core: are you ready to start?"
"announcer.bb_stalemate04"	"<clr:250,231,181>Locutor: Interpretando resposta vaga como SIM."
"[english]announcer.bb_stalemate04"	"<clr:250,231,181>Announcer: Interpreting vague answer as YES."
"announcer.bb_stalemate05"	"<clr:250,231,181>Locutor: Impasse detectado."
"[english]announcer.bb_stalemate05"	"<clr:250,231,181>Announcer: Stalemate detected."
"announcer.bb_stalemate06"	"<clr:250,231,181>Locutor: Fogo detectado no Anexo de Resolução de Impasses. Extinguindo."
"[english]announcer.bb_stalemate06"	"<clr:250,231,181>Announcer: Fire detected in the Stalemate Resolution Annex. Extinguishing."
"announcer.bb_stalemate07"	"<clr:250,231,181>Locutor: Associado de resolução de impasses: Por favor, pressione o botão de resolução de impasses."
"[english]announcer.bb_stalemate07"	"<clr:250,231,181>Announcer: Stalemate Resolution Associate: Please press the Stalemate Resolution Button."
"announcer.carolyndeleted02"	"<clr:250,231,181>Locutor: Caroline excluída."
"[english]announcer.carolyndeleted02"	"<clr:250,231,181>Announcer: Caroline deleted."
"announcer.evacuationmisc01"	"<clr:250,231,181>Locutor: Por favor, prepare-se para a evacuação de emergência."
"[english]announcer.evacuationmisc01"	"<clr:250,231,181>Announcer: Please prepare for emergency evacuation."
"announcer.gladosbattle11"	"<clr:250,231,181>Locutor: Alerta: o núcleo central está oitenta por cento deteriorado."
"[english]announcer.gladosbattle11"	"<clr:250,231,181>Announcer: Warning: Central core is eighty percent corrupt."
"announcer.gladosbattle12"	"<clr:250,231,181>Locutor: Núcleo alternativo detectado."
"[english]announcer.gladosbattle12"	"<clr:250,231,181>Announcer: Alternate core detected."
"announcer.gladosbattle13"	"<clr:250,231,181>Locutor: Para iniciar uma transferência de núcleo, por favor, deposite o núcleo substituto no receptáculo."
"[english]announcer.gladosbattle13"	"<clr:250,231,181>Announcer: To initiate a core transfer, please deposit substitute core in receptacle."
"announcer.gladosbattle14"	"<clr:250,231,181>Locutor: Núcleo substituto aceito."
"[english]announcer.gladosbattle14"	"<clr:250,231,181>Announcer: Substitute core accepted."
"announcer.gladosbattle15"	"<clr:250,231,181>Locutor: Núcleo substituto, você está pronto para iniciar o procedimento?"
"[english]announcer.gladosbattle15"	"<clr:250,231,181>Announcer: Substitute core, are you ready to start the procedure?"
"announcer.gladosbattle16"	"<clr:250,231,181>Locutor: Núcleo deteriorado, está pronto para iniciar o procedimento?"
"[english]announcer.gladosbattle16"	"<clr:250,231,181>Announcer: Corrupted core, are you ready to start the procedure?"
"announcer.gladosbattle17"	"<clr:250,231,181>Locutor: Impasse detectado. O procedimento de transferência não pode continuar."
"[english]announcer.gladosbattle17"	"<clr:250,231,181>Announcer: Stalemate detected. Transfer procedure cannot continue."
"announcer.gladosbattle18"	"<clr:250,231,181>Locutor: ... a não ser que um Associado de Impasses esteja presente para pressionar o Botão de Resolução de Impasses."
"[english]announcer.gladosbattle18"	"<clr:250,231,181>Announcer: ...unless a stalemate associate is present to press the stalemate resolution button."
"announcer.gladosbattle19"	"<clr:250,231,181>Locutor: Impasse resolvido."
"[english]announcer.gladosbattle19"	"<clr:250,231,181>Announcer: Stalemate Resolved."
"announcer.gladosbattle20"	"<clr:250,231,181>Locutor: Por favor, retorne ao compartimento de transferência de núcleo."
"[english]announcer.gladosbattle20"	"<clr:250,231,181>Announcer: Please return to the core transfer bay."
"announcer.good01"	"<clr:250,231,181>Locutor: Bom!"
"[english]announcer.good01"	"<clr:250,231,181>Announcer: Good!"
"announcer.good02"	"<clr:250,231,181>Locutor: Bom!"
"[english]announcer.good02"	"<clr:250,231,181>Announcer: Good!"
"announcer.mp_coop_wall_5security03"	"<clr:250,231,181>Locutor: O código de segurança de hoje é: 5, 33, 41, 18"
"[english]announcer.mp_coop_wall_5security03"	"<clr:250,231,181>Announcer: Today's Security Code is: 5,33,41,18"
"announcer.mp_hub_return01"	"<clr:250,231,181>Locutor: Bem-vindos ao Centro de Treinamento e Aprimoramento de Inteligência Computacional do Centro de Pesquisa de Cobaias Humanas. Vocês destravaram todos os percursos disponíveis."
"[english]announcer.mp_hub_return01"	"<clr:250,231,181>Announcer: Welcome to the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center.  You have unlocked all available courses."
"announcer.mp_hub_return02"	"<clr:250,231,181>Locutor: Aviso! Todos os percursos de teste já estão disponíveis."
"[english]announcer.mp_hub_return02"	"<clr:250,231,181>Announcer: Warning! All testing courses are currently available."
"announcer.mp_hub_return03"	"<clr:250,231,181>Locutor: Parabéns por voltarem com sucesso à sala central. Daqui vocês podem escolher todos os percursos previamente completados."
"[english]announcer.mp_hub_return03"	"<clr:250,231,181>Announcer: Congratulations on successfully returning to the central hub room.  From here you can select all previously completed courses."
"announcer.mp_hub_return04"	"<clr:250,231,181>Locutor: Para a sua conveniência, todos os testes estão disponíveis e todos os mecanismos de segurança dentro das câmaras de teste foram desativados."
"[english]announcer.mp_hub_return04"	"<clr:250,231,181>Announcer: For your testing convenience, all tests are available and all safety precautions within testing chambers have been deactivated."
"announcer.mp_hub_return05"	"<clr:250,231,181>Locutor: Sejam bem-vindos de volta à sala central. Todos os percursos de teste estão disponíveis. Vocês podem resolver os percursos redundantemente quando quiserem."
"[english]announcer.mp_hub_return05"	"<clr:250,231,181>Announcer: Welcome back to the central hub. All test courses are available. You may redundantly solve the courses at your leisure."
"announcer.mp_hub_return06"	"<clr:250,231,181>Locutor: Obrigado por completarem os percursos de teste. Se gostaram da sua experiência, vocês poderão repetir o percurso de teste da sua escolha."
