"lang"
{
"Language"	"polish"
"Tokens"
{
"announcer.a4_recapture01"	"<clr:250,231,181>Komunikat: Eksplozja nieunikniona. Natychmiast ewakuować placówkę."
"[english]announcer.a4_recapture01"	"<clr:250,231,181>Announcer: Explosion imminent. Evacuate the facility immediately."
"announcer.a4_recapture03"	"<clr:250,231,181>Komunikat: Ostrzeżenie. Temperatura rdzenia reaktora osiągnęła wartość krytyczną."
"[english]announcer.a4_recapture03"	"<clr:250,231,181>Announcer: Warning. Reactor core is at critical temperature."
"announcer.a4_recapture04"	"<clr:250,231,181>Komunikat: Ostrzeżenie: Przegrzanie reaktora. Zagrożenie stopienia rdzenia."
"[english]announcer.a4_recapture04"	"<clr:250,231,181>Announcer: Warning: Core overheating. Nuclear meltdown imminent."
"announcer.bb_corruption03"	"<clr:250,231,181>Komunikat: Ostrzeżenie: Uszkodzenie rdzenia na poziomie 50%."
"[english]announcer.bb_corruption03"	"<clr:250,231,181>Announcer: Warning: Core corruption at 50 percent."
"announcer.bb_corruption04"	"<clr:250,231,181>Komunikat: Ostrzeżenie: Uszkodzenie rdzenia na poziomie 75%."
"[english]announcer.bb_corruption04"	"<clr:250,231,181>Announcer: Warning: Core corruption at 75 percent."
"announcer.bb_corruption06"	"<clr:250,231,181>Komunikat: Ostrzeżenie: Uszkodzenie rdzenia na poziomie 100%."
"[english]announcer.bb_corruption06"	"<clr:250,231,181>Announcer: Warning: Core corruption at 100 percent."
"announcer.bb_neurotoxin01"	"<clr:250,231,181>Komunikat: Pełna wydajność neurotoksyn za pięć minut."
"[english]announcer.bb_neurotoxin01"	"<clr:250,231,181>Announcer: Neurotoxin level at capacity in five minutes."
"announcer.bb_neurotoxin06"	"<clr:250,231,181>Komunikat: Naruszono system wentylacyjny: neurotoksyny nieaktywne."
"[english]announcer.bb_neurotoxin06"	"<clr:250,231,181>Announcer: Vent system compromised: Neurotoxin offline."
"announcer.bb_reactor02"	"<clr:250,231,181>Komunikat: Eksplozja reaktora za cztery minuty."
"[english]announcer.bb_reactor02"	"<clr:250,231,181>Announcer: Reactor explosion in four minutes."
"announcer.bb_reactor06"	"<clr:250,231,181>Komunikat: Zegar eksplozji reaktora zniszczony."
"[english]announcer.bb_reactor06"	"<clr:250,231,181>Announcer: Reactor Explosion Timer destroyed."
"announcer.bb_reactor07"	"<clr:250,231,181>Komunikat: Aktywowano awaryjny protokół zapobiegania niepewności eksplozji reaktora: ta placówka ulegnie samozniszczeniu za dwie minuty."
"[english]announcer.bb_reactor07"	"<clr:250,231,181>Announcer: Reactor Explosion Uncertainty Emergency Preemption Protocol initiated: This facility will self destruct in two minutes."
"announcer.bb_stalemate01"	"<clr:250,231,181>Komunikat: Wymagana jest ręczna wymiana rdzenia."
"[english]announcer.bb_stalemate01"	"<clr:250,231,181>Announcer: Manual core replacement required."
"announcer.bb_stalemate02"	"<clr:250,231,181>Komunikat: Rdzeń zastępczy: gotowy, aby rozpocząć?"
"[english]announcer.bb_stalemate02"	"<clr:250,231,181>Announcer: Substitute Core: Are you ready to start?"
"announcer.bb_stalemate03"	"<clr:250,231,181>Komunikat: Rdzeń uszkodzony: gotowy, aby rozpocząć?"
"[english]announcer.bb_stalemate03"	"<clr:250,231,181>Announcer: Corrupted Core: are you ready to start?"
"announcer.bb_stalemate04"	"<clr:250,231,181>Komunikat: Interpretacja niejasnej odpowiedzi jako TAK."
"[english]announcer.bb_stalemate04"	"<clr:250,231,181>Announcer: Interpreting vague answer as YES."
"announcer.bb_stalemate05"	"<clr:250,231,181>Komunikat: Wykryto sytuację patową."
"[english]announcer.bb_stalemate05"	"<clr:250,231,181>Announcer: Stalemate detected."
"announcer.bb_stalemate06"	"<clr:250,231,181>Komunikat: Wykryto pożar w pomieszczeniu rozwiązywania sytuacji patowych. Trwa gaszenie."
"[english]announcer.bb_stalemate06"	"<clr:250,231,181>Announcer: Fire detected in the Stalemate Resolution Annex. Extinguishing."
"announcer.bb_stalemate07"	"<clr:250,231,181>Komunikat: Do asystenta w rozwiązywaniu sytuacji patowych: proszę wcisnąć przycisk rozwiązywania sytuacji patowej."
"[english]announcer.bb_stalemate07"	"<clr:250,231,181>Announcer: Stalemate Resolution Associate: Please press the Stalemate Resolution Button."
"announcer.carolyndeleted02"	"<clr:250,231,181>Komunikat: Usunięto Caroline."
"[english]announcer.carolyndeleted02"	"<clr:250,231,181>Announcer: Caroline deleted."
"announcer.evacuationmisc01"	"<clr:250,231,181>Komunikat: Prosimy przygotować się do awaryjnej ewakuacji."
"[english]announcer.evacuationmisc01"	"<clr:250,231,181>Announcer: Please prepare for emergency evacuation."
"announcer.gladosbattle11"	"<clr:250,231,181>Komunikat: Ostrzeżenie: rdzeń centralny uszkodzony w 80%."
"[english]announcer.gladosbattle11"	"<clr:250,231,181>Announcer: Warning: Central core is eighty percent corrupt."
"announcer.gladosbattle12"	"<clr:250,231,181>Komunikat: Wykryto rdzeń zastępczy."
"[english]announcer.gladosbattle12"	"<clr:250,231,181>Announcer: Alternate core detected."
"announcer.gladosbattle13"	"<clr:250,231,181>Komunikat: Aby rozpocząć transfer rdzenia, należy umieścić rdzeń zastępczy w gnieździe."
"[english]announcer.gladosbattle13"	"<clr:250,231,181>Announcer: To initiate a core transfer, please deposit substitute core in receptacle."
"announcer.gladosbattle14"	"<clr:250,231,181>Komunikat: Rdzeń zastępczy został zaakceptowany."
"[english]announcer.gladosbattle14"	"<clr:250,231,181>Announcer: Substitute core accepted."
"announcer.gladosbattle15"	"<clr:250,231,181>Komunikat: Rdzeń zastępczy: gotowy, aby rozpocząć procedurę?"
"[english]announcer.gladosbattle15"	"<clr:250,231,181>Announcer: Substitute core, are you ready to start the procedure?"
"announcer.gladosbattle16"	"<clr:250,231,181>Komunikat: Rdzeń uszkodzony: gotowy, aby rozpocząć procedurę?"
"[english]announcer.gladosbattle16"	"<clr:250,231,181>Announcer: Corrupted core, are you ready to start the procedure?"
"announcer.gladosbattle17"	"<clr:250,231,181>Komunikat: Wykryto sytuację patową. Nie można kontynuować procedury transferu."
"[english]announcer.gladosbattle17"	"<clr:250,231,181>Announcer: Stalemate detected. Transfer procedure cannot continue."
"announcer.gladosbattle18"	"<clr:250,231,181>Komunikat: ...chyba że asystent w rozwiązywaniu sytuacji patowych jest obecny i wciśnie przycisk rozwiązywania sytuacji patowej."
"[english]announcer.gladosbattle18"	"<clr:250,231,181>Announcer: ...unless a stalemate associate is present to press the stalemate resolution button."
"announcer.gladosbattle19"	"<clr:250,231,181>Komunikat: Rozwiązano sytuację patową."
"[english]announcer.gladosbattle19"	"<clr:250,231,181>Announcer: Stalemate Resolved."
"announcer.gladosbattle20"	"<clr:250,231,181>Komunikat: Wróć do pomieszczenia transferu rdzenia."
"[english]announcer.gladosbattle20"	"<clr:250,231,181>Announcer: Please return to the core transfer bay."
"announcer.good01"	"<clr:250,231,181>Komunikat: Dobrze!"
"[english]announcer.good01"	"<clr:250,231,181>Announcer: Good!"
"announcer.good02"	"<clr:250,231,181>Komunikat: Dobrze!"
"[english]announcer.good02"	"<clr:250,231,181>Announcer: Good!"
"announcer.mp_coop_wall_5security03"	"<clr:250,231,181>Komunikat: Dzisiejszy kod bezpieczeństwa to: 5, 33, 41, 18."
"[english]announcer.mp_coop_wall_5security03"	"<clr:250,231,181>Announcer: Today's Security Code is: 5,33,41,18"
"announcer.mp_hub_return01"	"<clr:250,231,181>Komunikat: Witamy w Sterowanym komputerowo centrum badawczo-szkoleniowym dla ludzkich obiektów testowych. Odblokowano wszystkie dostępne testy."
"[english]announcer.mp_hub_return01"	"<clr:250,231,181>Announcer: Welcome to the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center.  You have unlocked all available courses."
"announcer.mp_hub_return02"	"<clr:250,231,181>Komunikat: Ostrzeżenie! Wszystkie pomieszczenia testowe są aktualnie dostępne."
"[english]announcer.mp_hub_return02"	"<clr:250,231,181>Announcer: Warning! All testing courses are currently available."
"announcer.mp_hub_return03"	"<clr:250,231,181>Komunikat: Gratulujemy pomyślnego powrotu do centralnego pomieszczenia. Z tego miejsca można wybrać wszystkie ukończone wcześniej testy."
"[english]announcer.mp_hub_return03"	"<clr:250,231,181>Announcer: Congratulations on successfully returning to the central hub room.  From here you can select all previously completed courses."
"announcer.mp_hub_return04"	"<clr:250,231,181>Komunikat: W trosce o twój komfort udostępniono wszystkie pomieszczenia testowe oraz dezaktywowano wszelkie umieszczone w nich zabezpieczenia."
"[english]announcer.mp_hub_return04"	"<clr:250,231,181>Announcer: For your testing convenience, all tests are available and all safety precautions within testing chambers have been deactivated."
