"lang"
{
"Language"	"turkish"
"Tokens"
{
"announcer.a4_recapture01"	"<clr:250,231,181>Sunucu: Patlama gerçekleşmek üzere. Tesisi derhal boşaltın."
"[english]announcer.a4_recapture01"	"<clr:250,231,181>Announcer: Explosion imminent. Evacuate the facility immediately."
"announcer.a4_recapture03"	"<clr:250,231,181>Sunucu: Uyarı. Reaktör çekirdeği kritik sıcaklıkta."
"[english]announcer.a4_recapture03"	"<clr:250,231,181>Announcer: Warning. Reactor core is at critical temperature."
"announcer.a4_recapture04"	"<clr:250,231,181>Sunucu: Uyarı: Çekirdek aşırı ısınıyor. Nükleer erime gerçekleşmek üzere."
"[english]announcer.a4_recapture04"	"<clr:250,231,181>Announcer: Warning: Core overheating. Nuclear meltdown imminent."
"announcer.bb_corruption03"	"<clr:250,231,181>Sunucu: Uyarı: Çekirdek bozulma yüzdesi: %50."
"[english]announcer.bb_corruption03"	"<clr:250,231,181>Announcer: Warning: Core corruption at 50 percent."
"announcer.bb_corruption04"	"<clr:250,231,181>Sunucu: Uyarı: Çekirdek bozulma yüzdesi: %75."
"[english]announcer.bb_corruption04"	"<clr:250,231,181>Announcer: Warning: Core corruption at 75 percent."
"announcer.bb_corruption06"	"<clr:250,231,181>Sunucu: Uyarı: Çekirdek bozulma yüzdesi: %100."
"[english]announcer.bb_corruption06"	"<clr:250,231,181>Announcer: Warning: Core corruption at 100 percent."
"announcer.bb_neurotoxin01"	"<clr:250,231,181>Sunucu: Sinir gazı seviyesi 5 dakika içinde azami seviyeye ulaşacak."
"[english]announcer.bb_neurotoxin01"	"<clr:250,231,181>Announcer: Neurotoxin level at capacity in five minutes."
"announcer.bb_neurotoxin06"	"<clr:250,231,181>Sunucu: Havalandırma sistemi çalışmıyor: Sinir gazı devre dışı."
"[english]announcer.bb_neurotoxin06"	"<clr:250,231,181>Announcer: Vent system compromised: Neurotoxin offline."
"announcer.bb_reactor02"	"<clr:250,231,181>Sunucu: Reaktör patlamasına dört dakika kaldı."
"[english]announcer.bb_reactor02"	"<clr:250,231,181>Announcer: Reactor explosion in four minutes."
"announcer.bb_reactor06"	"<clr:250,231,181>Sunucu: Reaktör Patlama Zamanlayıcısı yok edildi."
"[english]announcer.bb_reactor06"	"<clr:250,231,181>Announcer: Reactor Explosion Timer destroyed."
"announcer.bb_reactor07"	"<clr:250,231,181>Sunucu: Reaktör Patlaması Belirsizliği Acil Durum Önlem Protokolü devrede: Bu tesis 2 dakika içinde kendisini imha edecek."
"[english]announcer.bb_reactor07"	"<clr:250,231,181>Announcer: Reactor Explosion Uncertainty Emergency Preemption Protocol initiated: This facility will self destruct in two minutes."
"announcer.bb_stalemate01"	"<clr:250,231,181>Sunucu: Çekirdeğin elle değiştirilmesi gerekiyor."
"[english]announcer.bb_stalemate01"	"<clr:250,231,181>Announcer: Manual core replacement required."
"announcer.bb_stalemate02"	"<clr:250,231,181>Sunucu: Yedek Çekirdek: Başlamaya hazır mısın?"
"[english]announcer.bb_stalemate02"	"<clr:250,231,181>Announcer: Substitute Core: Are you ready to start?"
"announcer.bb_stalemate03"	"<clr:250,231,181>Sunucu: Bozuk Çekirdek: başlamaya hazır mısın?"
"[english]announcer.bb_stalemate03"	"<clr:250,231,181>Announcer: Corrupted Core: are you ready to start?"
"announcer.bb_stalemate04"	"<clr:250,231,181>Sunucu: Belirsiz cevap EVET olarak kabul ediliyor."
"[english]announcer.bb_stalemate04"	"<clr:250,231,181>Announcer: Interpreting vague answer as YES."
"announcer.bb_stalemate05"	"<clr:250,231,181>Sunucu: İkilem tespit edildi."
"[english]announcer.bb_stalemate05"	"<clr:250,231,181>Announcer: Stalemate detected."
"announcer.bb_stalemate06"	"<clr:250,231,181>Sunucu: İkilem Çözümleme Eklentisinde yangın tespit edildi. Söndürülüyor."
"[english]announcer.bb_stalemate06"	"<clr:250,231,181>Announcer: Fire detected in the Stalemate Resolution Annex. Extinguishing."
"announcer.bb_stalemate07"	"<clr:250,231,181>Sunucu: İkilem Çözümleme Ortağı: Lütfen İkilem Çözümleme Düğmesine basın."
"[english]announcer.bb_stalemate07"	"<clr:250,231,181>Announcer: Stalemate Resolution Associate: Please press the Stalemate Resolution Button."
"announcer.carolyndeleted02"	"<clr:250,231,181>Sunucu: Caroline silindi."
"[english]announcer.carolyndeleted02"	"<clr:250,231,181>Announcer: Caroline deleted."
"announcer.evacuationmisc01"	"<clr:250,231,181>Sunucu: Lütfen acil durum tahliyesi için hazırlanın."
"[english]announcer.evacuationmisc01"	"<clr:250,231,181>Announcer: Please prepare for emergency evacuation."
"announcer.gladosbattle11"	"<clr:250,231,181>Sunucu: Uyarı: Merkezi çekirdek yüzde seksen oranında bozuldu."
"[english]announcer.gladosbattle11"	"<clr:250,231,181>Announcer: Warning: Central core is eighty percent corrupt."
"announcer.gladosbattle12"	"<clr:250,231,181>Sunucu: Alternatif çekirdek tespit edildi."
"[english]announcer.gladosbattle12"	"<clr:250,231,181>Announcer: Alternate core detected."
"announcer.gladosbattle13"	"<clr:250,231,181>Sunucu: Bir çekirdek transferi başlatmak için lütfen yedek çekirdeği hazneye yerleştirin."
"[english]announcer.gladosbattle13"	"<clr:250,231,181>Announcer: To initiate a core transfer, please deposit substitute core in receptacle."
"announcer.gladosbattle14"	"<clr:250,231,181>Sunucu: Yedek çekirdek kabul edildi."
"[english]announcer.gladosbattle14"	"<clr:250,231,181>Announcer: Substitute core accepted."
"announcer.gladosbattle15"	"<clr:250,231,181>Sunucu: Yedek çekirdek, işlemi başlatmak için hazır mısın?"
"[english]announcer.gladosbattle15"	"<clr:250,231,181>Announcer: Substitute core, are you ready to start the procedure?"
"announcer.gladosbattle16"	"<clr:250,231,181>Sunucu: Bozuk çekirdek, işlemi başlatmak için hazır mısın?"
"[english]announcer.gladosbattle16"	"<clr:250,231,181>Announcer: Corrupted core, are you ready to start the procedure?"
"announcer.gladosbattle17"	"<clr:250,231,181>Sunucu: İkilem tespit edildi. Transfer işlemi devam edemez."
"[english]announcer.gladosbattle17"	"<clr:250,231,181>Announcer: Stalemate detected. Transfer procedure cannot continue."
"announcer.gladosbattle18"	"<clr:250,231,181>Sunucu: ...ta ki ikilem çözümleme düğmesine basacak bir ikilem ortağı olana kadar."
"[english]announcer.gladosbattle18"	"<clr:250,231,181>Announcer: ...unless a stalemate associate is present to press the stalemate resolution button."
"announcer.gladosbattle19"	"<clr:250,231,181>Sunucu: İkilem Çözüldü."
"[english]announcer.gladosbattle19"	"<clr:250,231,181>Announcer: Stalemate Resolved."
"announcer.gladosbattle20"	"<clr:250,231,181>Sunucu: Lütfen çekirdek transfer alanına dönün."
"[english]announcer.gladosbattle20"	"<clr:250,231,181>Announcer: Please return to the core transfer bay."
"announcer.good01"	"<clr:250,231,181>Sunucu: Güzel!"
"[english]announcer.good01"	"<clr:250,231,181>Announcer: Good!"
"announcer.good02"	"<clr:250,231,181>Sunucu: Güzel!"
"[english]announcer.good02"	"<clr:250,231,181>Announcer: Good!"
"announcer.mp_coop_wall_5security03"	"<clr:250,231,181>Sunucu: Bugünün Güvenlik Kodu: 5.33.41.18"
"[english]announcer.mp_coop_wall_5security03"	"<clr:250,231,181>Announcer: Today's Security Code is: 5,33,41,18"
"announcer.mp_hub_return01"	"<clr:250,231,181>Sunucu: Bilgisayar Zeka Eğitimi ve Zenginleştirme Merkezi İnsan Denek Araştırma Merkezi'ne hoş geldiniz. Tüm parkurları açtınız."
"[english]announcer.mp_hub_return01"	"<clr:250,231,181>Announcer: Welcome to the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center.  You have unlocked all available courses."
"announcer.mp_hub_return02"	"<clr:250,231,181>Sunucu: Uyarı! Şu anda tüm test parkurları kullanılabilir durumda."
"[english]announcer.mp_hub_return02"	"<clr:250,231,181>Announcer: Warning! All testing courses are currently available."
"announcer.mp_hub_return03"	"<clr:250,231,181>Sunucu: Merkez dağıtım odasına başarıyla dönüşünüz için tebrik ederiz. Buradan daha önce tamamlanmış olan tüm parkurları seçebilirsiniz."
"[english]announcer.mp_hub_return03"	"<clr:250,231,181>Announcer: Congratulations on successfully returning to the central hub room.  From here you can select all previously completed courses."
"announcer.mp_hub_return04"	"<clr:250,231,181>Sunucu: Deneyiminizi kolaylaştırmak için, tüm testler kullanılabilir ve test alanlarındaki tüm güvenlik önlemleri devre dışı bırakılmış durumda."
"[english]announcer.mp_hub_return04"	"<clr:250,231,181>Announcer: For your testing convenience, all tests are available and all safety precautions within testing chambers have been deactivated."
