"lang"
{
"Language"	"ukrainian"
"Tokens"
{
"announcer.a4_recapture01"	"<clr:250,231,181>Диктор: Вибух неминучий. Терміново розпочати евакуацію."
"[english]announcer.a4_recapture01"	"<clr:250,231,181>Announcer: Explosion imminent. Evacuate the facility immediately."
"announcer.a4_recapture03"	"<clr:250,231,181>Диктор: Увага! Температура реактора наближається до критичної."
"[english]announcer.a4_recapture03"	"<clr:250,231,181>Announcer: Warning. Reactor core is at critical temperature."
"announcer.a4_recapture04"	"<clr:250,231,181>Диктор: Небезпека! Перегрів реактора. Вибух неминучий."
"[english]announcer.a4_recapture04"	"<clr:250,231,181>Announcer: Warning: Core overheating. Nuclear meltdown imminent."
"announcer.bb_corruption03"	"<clr:250,231,181>Диктор: Увага! Ядро пошкоджено на 50 відсотків."
"[english]announcer.bb_corruption03"	"<clr:250,231,181>Announcer: Warning: Core corruption at 50 percent."
"announcer.bb_corruption04"	"<clr:250,231,181>Диктор: Увага! Ядро пошкоджено на 75 відсотків."
"[english]announcer.bb_corruption04"	"<clr:250,231,181>Announcer: Warning: Core corruption at 75 percent."
"announcer.bb_corruption06"	"<clr:250,231,181>Диктор: Увага! Ядро пошкоджено на 100 відсотків."
"[english]announcer.bb_corruption06"	"<clr:250,231,181>Announcer: Warning: Core corruption at 100 percent."
"announcer.bb_neurotoxin01"	"<clr:250,231,181>Диктор: концентрація нейротоксину досягне максимального значення за п’ять хвилин."
"[english]announcer.bb_neurotoxin01"	"<clr:250,231,181>Announcer: Neurotoxin level at capacity in five minutes."
"announcer.bb_neurotoxin06"	"<clr:250,231,181>Диктор: Пошкодження вентиляції. Нейротоксин відключено."
"[english]announcer.bb_neurotoxin06"	"<clr:250,231,181>Announcer: Vent system compromised: Neurotoxin offline."
"announcer.bb_reactor02"	"<clr:250,231,181>Диктор: Вибух реактора через чотири хвилини."
"[english]announcer.bb_reactor02"	"<clr:250,231,181>Announcer: Reactor explosion in four minutes."
"announcer.bb_reactor06"	"<clr:250,231,181>Диктор: Відлік часу зупинено."
"[english]announcer.bb_reactor06"	"<clr:250,231,181>Announcer: Reactor Explosion Timer destroyed."
"announcer.bb_reactor07"	"<clr:250,231,181>Диктор: Запущено протокол знищення реактора в екстреній ситуації. Комплекс самоліквідується через дві хвилини."
"[english]announcer.bb_reactor07"	"<clr:250,231,181>Announcer: Reactor Explosion Uncertainty Emergency Preemption Protocol initiated: This facility will self destruct in two minutes."
"announcer.bb_stalemate01"	"<clr:250,231,181>Диктор: Необхідна ручна заміна ядра."
"[english]announcer.bb_stalemate01"	"<clr:250,231,181>Announcer: Manual core replacement required."
"announcer.bb_stalemate02"	"<clr:250,231,181>Диктор: Змінне ядро. Ви готові почати?"
"[english]announcer.bb_stalemate02"	"<clr:250,231,181>Announcer: Substitute Core: Are you ready to start?"
"announcer.bb_stalemate03"	"<clr:250,231,181>Диктор: Несправне ядро. Ви готові почати?"
"[english]announcer.bb_stalemate03"	"<clr:250,231,181>Announcer: Corrupted Core: are you ready to start?"
"announcer.bb_stalemate04"	"<clr:250,231,181>Диктор: Ваш нечітка відповідь витлумачена як «ТАК»."
"[english]announcer.bb_stalemate04"	"<clr:250,231,181>Announcer: Interpreting vague answer as YES."
"announcer.bb_stalemate05"	"<clr:250,231,181>Диктор: Безвихідна ситуація."
"[english]announcer.bb_stalemate05"	"<clr:250,231,181>Announcer: Stalemate detected."
"announcer.bb_stalemate06"	"<clr:250,231,181>Диктор: Займання у відсіку виходу з безвихідної ситуації. Виконується гасіння."
"[english]announcer.bb_stalemate06"	"<clr:250,231,181>Announcer: Fire detected in the Stalemate Resolution Annex. Extinguishing."
"announcer.bb_stalemate07"	"<clr:250,231,181>Диктор: Прохання до відповідального співробітника натиснути кнопку виходу з безвихідної ситуації."
"[english]announcer.bb_stalemate07"	"<clr:250,231,181>Announcer: Stalemate Resolution Associate: Please press the Stalemate Resolution Button."
"announcer.carolyndeleted02"	"<clr:250,231,181>Диктор: Керолайн видалено."
"[english]announcer.carolyndeleted02"	"<clr:250,231,181>Announcer: Caroline deleted."
"announcer.evacuationmisc01"	"<clr:250,231,181>Диктор: Будь ласка, підготуйтеся до аварійної евакуації."
"[english]announcer.evacuationmisc01"	"<clr:250,231,181>Announcer: Please prepare for emergency evacuation."
"announcer.gladosbattle11"	"<clr:250,231,181>Диктор: Увага! Центральне ядро пошкоджено на 80 відсотків."
"[english]announcer.gladosbattle11"	"<clr:250,231,181>Announcer: Warning: Central core is eighty percent corrupt."
"announcer.gladosbattle12"	"<clr:250,231,181>Диктор: Виявлено альтернативне ядро."
"[english]announcer.gladosbattle12"	"<clr:250,231,181>Announcer: Alternate core detected."
"announcer.gladosbattle13"	"<clr:250,231,181>Диктор: Для запуску процесу заміни ядра помістіть нове відповідне ядро у приймач."
"[english]announcer.gladosbattle13"	"<clr:250,231,181>Announcer: To initiate a core transfer, please deposit substitute core in receptacle."
"announcer.gladosbattle14"	"<clr:250,231,181>Диктор: Змінне ядро прийнято."
"[english]announcer.gladosbattle14"	"<clr:250,231,181>Announcer: Substitute core accepted."
"announcer.gladosbattle15"	"<clr:250,231,181>Диктор: Змінне ядро, ви готові розпочати процедуру заміни?"
"[english]announcer.gladosbattle15"	"<clr:250,231,181>Announcer: Substitute core, are you ready to start the procedure?"
"announcer.gladosbattle16"	"<clr:250,231,181>Диктор: Несправне ядро, ви готові розпочати процедуру заміни?"
"[english]announcer.gladosbattle16"	"<clr:250,231,181>Announcer: Corrupted core, are you ready to start the procedure?"
"announcer.gladosbattle17"	"<clr:250,231,181>Диктор: Виявлено безвихідну ситуацію. Процедуру заміни перервано."
"[english]announcer.gladosbattle17"	"<clr:250,231,181>Announcer: Stalemate detected. Transfer procedure cannot continue."
"announcer.gladosbattle18"	"<clr:250,231,181>Диктор: Прохання до відповідального співробітника натиснути кнопку виходу з безвихідної ситуації."
"[english]announcer.gladosbattle18"	"<clr:250,231,181>Announcer: ...unless a stalemate associate is present to press the stalemate resolution button."
"announcer.gladosbattle19"	"<clr:250,231,181>Диктор: Безвихідну ситуацію ліквідовано."
"[english]announcer.gladosbattle19"	"<clr:250,231,181>Announcer: Stalemate Resolved."
"announcer.gladosbattle20"	"<clr:250,231,181>Диктор: Будь ласка, поверніться до майданчика переміщення ядра."
"[english]announcer.gladosbattle20"	"<clr:250,231,181>Announcer: Please return to the core transfer bay."
"announcer.good01"	"<clr:250,231,181>Диктор: Добре!"
"[english]announcer.good01"	"<clr:250,231,181>Announcer: Good!"
"announcer.good02"	"<clr:250,231,181>Диктор: Добре!"
"[english]announcer.good02"	"<clr:250,231,181>Announcer: Good!"
"announcer.mp_coop_wall_5security03"	"<clr:250,231,181>Диктор: Коди безпеки на сьогодні: 5, 33, 41, 18."
"[english]announcer.mp_coop_wall_5security03"	"<clr:250,231,181>Announcer: Today's Security Code is: 5,33,41,18"
"announcer.mp_hub_return01"	"<clr:250,231,181>Диктор: Ласкаво просимо в Автоматизований центр розвитку, тренування і експериментів на людях. Ви розблокували усі доступні зони тестування."
"[english]announcer.mp_hub_return01"	"<clr:250,231,181>Announcer: Welcome to the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center.  You have unlocked all available courses."
"announcer.mp_hub_return02"	"<clr:250,231,181>Диктор: Увага! Наразі доступні всі зони тестування."
"[english]announcer.mp_hub_return02"	"<clr:250,231,181>Announcer: Warning! All testing courses are currently available."
"announcer.mp_hub_return03"	"<clr:250,231,181>Диктор: Вітаємо із успішним поверненням до диспетчерської. Звідси ви можете потрапити до будь-якого завершеного раніше тестування."
"[english]announcer.mp_hub_return03"	"<clr:250,231,181>Announcer: Congratulations on successfully returning to the central hub room.  From here you can select all previously completed courses."
"announcer.mp_hub_return04"	"<clr:250,231,181>Диктор: Для зручності вашого тестування, усі випробування доступні вам, а процедури техніки безпеки вимкнено."
"[english]announcer.mp_hub_return04"	"<clr:250,231,181>Announcer: For your testing convenience, all tests are available and all safety precautions within testing chambers have been deactivated."
"announcer.mp_hub_return05"	"<clr:250,231,181>Диктор: Із поверненням до диспетчерської! Усі тестування доступні для вас. Ви можете знову пройти будь-яке випробування у вільний час."
"[english]announcer.mp_hub_return05"	"<clr:250,231,181>Announcer: Welcome back to the central hub. All test courses are available. You may redundantly solve the courses at your leisure."
"announcer.mp_hub_return06"	"<clr:250,231,181>Диктор: Дякуємо за проходження курсу тестування. Якщо вам сподобалося, ви можете самостійно обрати будь-яке тестування та знову пройти його."
"[english]announcer.mp_hub_return06"	"<clr:250,231,181>Announcer: Thank you for completing the testing courses. If you enjoyed your experience, you may now re-enter the testing course of your choice."
